slug,term,grade,primary_ccss,all_ccss,strand,all_strands,merged,definition,example_1,example_2,key_rule,memory_hook,related_terms,content_status,source_cards
relation-grade-8,Relation,8th,8.F.A.1,8.F.A.1,Functions,Functions,,Any set of ordered pairs linking inputs to outputs. A function is a relation in which each input has exactly one output.,"{(1,2),(2,4),(3,6)} is a relation.","Every function is a relation, but not every relation is a function.",A relation becomes a function only when each input has exactly one output.,Any pairing of inputs and outputs.,decreasing-grade-8; function-grade-8; increasing-grade-8; initial-value-grade-8,DONE (OCR from card),f8_relation
representation-grade-8,Representation,8th,8.F.A.2,8.F.A.2,Functions,Functions,,"A way of showing a function, such as a verbal description, an equation, a table, or a graph. Different representations of the same function are equivalent.",'Output is one more than twice the input' describes the same function as f(x) = 2x + 1.,A table and a graph can represent the exact same rule.,"You can translate between words, equations, tables, and graphs — they describe the same rule.","Same function, four different looks.",decreasing-grade-8; function-grade-8; increasing-grade-8; initial-value-grade-8,DONE (OCR from card),f8_representation
slope-grade-8,Slope,8th,8.EE.B.6,8.EE.B.6; 8.F.A.3; 8.SP.A.3,Functions,Expressions & Equations; Functions; Statistics & Probability,YES,"The constant rate of change of a linear function, equal to rise over run. It tells how much the output changes for each unit increase in the input.","In f(x) = 2x + 1, the slope is 2 — output rises 2 each time input rises 1.",Slope = rise ÷ run.,Slope is the constant rate of change for a linear function.,How steep the line is.,decreasing-grade-8; function-grade-8; increasing-grade-8; initial-value-grade-8,DONE (OCR from card),f8_slope; ee8_slope; sp8_slope
slope-formula-grade-8,Slope Formula,8th,8.F.B.4,8.F.B.4,Functions,Functions,,"A formula for finding the slope between two points, equal to the difference in y-values divided by the difference in x-values, taken in the same order.","Points (1,3) and (4,9): slope = (9-3)/(4-1) = 6/3 = 2.",Keep the order consistent — top and bottom must subtract in the same direction.,"Subtract the y-values and x-values in the same order, then divide.","Rise over run, from any two points.",decreasing-grade-8; function-grade-8; increasing-grade-8; initial-value-grade-8,DONE (OCR from card),f8_slopeformula
turning-point-grade-8,Turning Point,8th,8.F.B.5,8.F.B.5,Functions,Functions,,"A point where a graph changes direction, switching from increasing to decreasing or from decreasing to increasing. Straight lines have none.",A graph that goes up then down has a turning point at the top.,"Turning points appear in nonlinear graphs, not straight lines.",Linear graphs have no turning points — they go one direction forever.,Where the graph switches direction.,decreasing-grade-8; function-grade-8; increasing-grade-8; initial-value-grade-8,DONE (OCR from card),f8_turningpoint
x-intercept-grade-8,X-Intercept,8th,8.F.A.3,8.F.A.3,Functions,Functions,,"The point where a graph crosses the x-axis, where the y-value equals zero. Found by setting y to zero and solving for x.","For y = 2x - 6: set y=0, solve 0=2x-6, x=3. X-intercept is (3, 0).",The x-intercept always has a y-coordinate of 0.,Set y = 0 and solve for x to find the x-intercept.,Where the line crosses the x-axis.,decreasing-grade-8; function-grade-8; increasing-grade-8; initial-value-grade-8,DONE (OCR from card),f8_xintercept
y-intercept-grade-8,Y-Intercept,8th,8.EE.B.6,8.EE.B.6; 8.F.A.3; 8.SP.A.3,Functions,Expressions & Equations; Functions; Statistics & Probability,YES,"The point where a function's graph crosses the y-axis, equal to the output when the input is zero. In a linear function it is the initial value b.","In f(x) = 2x + 1, the y-intercept is 1, since f(0) = 1.",The y-intercept is the starting amount before any change.,Set x = 0 to find the y-intercept.,Where the line crosses the y-axis.,decreasing-grade-8; function-grade-8; increasing-grade-8; initial-value-grade-8,DONE (OCR from card),f8_yintercept; ee8_yintercept; sp8_yintercept
coefficient-grade-8,Coefficient,8th,8.EE.A.3,8.EE.A.3,Expressions & Equations,Expressions & Equations,,"In scientific notation, the decimal number multiplied by a power of ten. It must be greater than or equal to one and less than ten.",3.6 × 10⁵: 3.6 is a valid coefficient (between 1 and 10).,36 × 10⁴ is NOT valid — 36 is too big.,The coefficient must be at least 1 and less than 10.,"The front number, always between 1 and 10.",constant-of-proportionality-grade-8; constraint-grade-8; context-check-grade-8; cube-root-grade-8,DONE (OCR from card),ee8_coefficient
constant-of-proportionality-grade-8,Constant of Proportionality,8th,8.EE.B.5,8.EE.B.5,Expressions & Equations,Expressions & Equations,,The constant ratio k in a proportional relationship y equals k times x. It equals the unit rate and the slope of the graph.,"If 4 apples cost 12 dollars, k = 12/4 = 3 dollars per apple.","On the graph, the line rises 3 for every 1 across — k is the slope.","k is the unit rate, the slope, AND the value of y when x=1 — all the same number.","k = y/x, always.",coefficient-grade-8; constraint-grade-8; context-check-grade-8; cube-root-grade-8,DONE (OCR from card),ee8_constantofproportionality
constraint-grade-8,Constraint,8th,8.EE.C.8c,8.EE.C.8c,Expressions & Equations,Expressions & Equations,,"A condition or limit in a problem, such as a total number or total cost, that is translated into an equation. A system of equations encodes all the constraints.",'10 tickets sold' becomes the equation a + c = 10.,'Total of 68 dollars' becomes 8a + 5c = 68.,Each constraint in a word problem becomes one equation.,"A real-world limit, turned into an equation.",coefficient-grade-8; constant-of-proportionality-grade-8; context-check-grade-8; cube-root-grade-8,DONE (OCR from card),ee8_constraint
context-check-grade-8,Context Check,8th,8.EE.C.7b,8.EE.C.7b,Expressions & Equations,Expressions & Equations,,"Confirming that a solution is reasonable and valid within the real-world situation of the problem, such as being positive, a whole number, or a sensible size.",6 miles at a taxi rate checks out: 2(6)+3=15 dollars matches the given cost.,A solution of x = -4 buses fails the context check — you can't have negative buses.,"After solving, ask: is the answer positive, whole, and reasonable in size?",Does the answer make sense in real life?,coefficient-grade-8; constant-of-proportionality-grade-8; constraint-grade-8; cube-root-grade-8,DONE (OCR from card),ee8_contextcheck
cube-root-grade-8,Cube Root,8th,8.EE.A.2,8.EE.A.2,Expressions & Equations,Expressions & Equations,,"A value that, used three times as a factor, gives the original number. It is the inverse of cubing and equals the edge length of a cube with that volume.","Cube root of 64 = 4, since 4×4×4=64.",The cube root of a perfect cube is a whole number.,Cube root undoes cubing.,What number times itself three times gives this?,coefficient-grade-8; constant-of-proportionality-grade-8; constraint-grade-8; context-check-grade-8,DONE (OCR from card),ee8_cuberoot
define-the-variable-grade-8,Define the Variable,8th,8.EE.C.7b,8.EE.C.7b,Expressions & Equations,Expressions & Equations,,"Clearly state what an unknown letter represents, including its units, before writing an equation. This is the first step in solving a word problem.",Let x = the number of miles.,'Let x = the taxi' is vague; 'let x = number of miles' is clear.,Always write 'Let x = ...' with units.,Say exactly what the letter stands for.,coefficient-grade-8; constant-of-proportionality-grade-8; constraint-grade-8; context-check-grade-8,DONE (OCR from card),ee8_definethevariable
define-variables-grade-8,Define Variables,8th,8.EE.C.8c,8.EE.C.8c,Expressions & Equations,Expressions & Equations,,"Assigning a distinct letter to each unknown quantity, with units, before setting up the equations of a system from a word problem.","a = number of adult tickets, c = number of child tickets.",Then write one equation per condition: a+c=10 and 8a+5c=68.,Name each unknown with its own letter and units before writing equations.,One letter for each unknown.,coefficient-grade-8; constant-of-proportionality-grade-8; constraint-grade-8; context-check-grade-8,DONE (OCR from card),ee8_definevariables
distributive-property-grade-8,Distributive Property,8th,8.EE.C.7b,8.EE.C.7b,Expressions & Equations,Expressions & Equations,,Multiplying a factor by a sum or difference inside parentheses by multiplying it by each term separately. a times the quantity b plus c equals ab plus ac.,3(x + 5) = 3x + 15.,4(2x - 3) = 8x - 12.,Distribute the outside factor to every term inside — don't forget the second term.,Multiply the outside number by everyone inside.,coefficient-grade-8; constant-of-proportionality-grade-8; constraint-grade-8; context-check-grade-8,DONE (OCR from card),ee8_distributiveproperty
elimination-grade-8,Elimination,8th,8.EE.C.8b,8.EE.C.8b,Expressions & Equations,Expressions & Equations,,"A method for solving a system by adding or subtracting the equations to cancel one variable, leaving a single-variable equation to solve.","3x+y=10 and 2x-y=5: adding cancels y, giving 5x=15, x=3.","If needed, multiply an equation first to create opposite coefficients.",Line up the equations and add or subtract so one variable cancels.,Add or subtract to cancel a variable.,coefficient-grade-8; constant-of-proportionality-grade-8; constraint-grade-8; context-check-grade-8,DONE (OCR from card),ee8_elimination
equation-grade-8,Equation,8th,8.EE.C.7b,8.EE.C.7b,Expressions & Equations,Expressions & Equations,,"A mathematical statement that two expressions are equal, shown with an equals sign. The goal is usually to find the value of the variable that makes it true.",2x + 3 = 11 is an equation.,"2x + 3 (no equals sign) is only an expression, not an equation.","Whatever you do to one side, you must do to the other to keep it balanced.","Two expressions, balanced by an equals sign.",coefficient-grade-8; constant-of-proportionality-grade-8; constraint-grade-8; context-check-grade-8,DONE (OCR from card),ee8_equation
identity-grade-8,Identity,8th,8.EE.C.7a,8.EE.C.7a,Expressions & Equations,Expressions & Equations,,An equation that holds true for all values of the variable because both sides are equivalent expressions. It has infinitely many solutions.,3(x+2) = 3x+6 simplifies to 3x+6 = 3x+6 — true for every x.,Try x=0: 6=6. Try x=5: 21=21. Always true.,An identity simplifies to the same expression on both sides.,True no matter what x is.,coefficient-grade-8; constant-of-proportionality-grade-8; constraint-grade-8; context-check-grade-8,DONE (OCR from card),ee8_identity
infinitely-many-grade-8,Infinitely Many,8th,8.EE.C.7a,8.EE.C.7a,Expressions & Equations,Expressions & Equations,,Occurs when solving an equation eliminates the variable and leaves a true statement. Every value of the variable works; both sides are the same line.,2(x+3) = 2x+6 simplifies to 6=6 — always true.,"Graphically, both equations are the same line.",A true statement with no variable left means infinitely many solutions.,"Variable disappears, statement is true — infinite solutions.",coefficient-grade-8; constant-of-proportionality-grade-8; constraint-grade-8; context-check-grade-8,DONE (OCR from card),ee8_infinitelymany
integer-exponent-grade-8,Integer Exponent,8th,8.EE.A.1,8.EE.A.1,Expressions & Equations,Expressions & Equations,,"An exponent that is a whole number, which may be positive, zero, or negative. Positive means repeated multiplication, zero gives one, and negative gives a reciprocal.","2³=8, 2⁰=1, 2⁻³=1/8.","As the exponent decreases by 1, the value is divided by the base.",The pattern of dividing by the base is continuous through zero and into negatives.,"Positive, zero, or negative — the pattern keeps going.",coefficient-grade-8; constant-of-proportionality-grade-8; constraint-grade-8; context-check-grade-8,DONE (OCR from card),ee8_integerexponent
interpret-grade-8,Interpret,8th,8.EE.C.8c,8.EE.C.8c,Expressions & Equations,Expressions & Equations,,"To translate the numerical solution of a system back into a meaningful statement about the original real-world situation, including units.","a=6, c=4 interprets to '6 adult tickets and 4 child tickets were sold.'",Don't stop at the numbers — turn them into a sentence about the real problem.,Always interpret the solution with correct units and context.,Turn the numbers back into a real-world sentence.,coefficient-grade-8; constant-of-proportionality-grade-8; constraint-grade-8; context-check-grade-8,DONE (OCR from card),ee8_interpret
inverse-operation-grade-8,Inverse Operation,8th,8.EE.C.7b,8.EE.C.7b,Expressions & Equations,Expressions & Equations,,"The operation that reverses another, such as subtraction undoing addition or division undoing multiplication. Used to isolate the variable when solving equations.","For 2x+3=11: subtract 3 (inverse of +3), then divide by 2 (inverse of ×2).","Undo operations in reverse order — addition/subtraction first, then multiplication/division.",Apply the same inverse operation to both sides to keep the equation balanced.,Undo each operation with its opposite.,coefficient-grade-8; constant-of-proportionality-grade-8; constraint-grade-8; context-check-grade-8,DONE (OCR from card),ee8_inverseoperation
isolate-grade-8,Isolate,8th,8.EE.C.8b,8.EE.C.8b,Expressions & Equations,Expressions & Equations,,To get a variable by itself on one side of an equation using inverse operations. This is the goal when solving and the first step in substitution.,"3x+6=15: subtract 6 to get 3x=9, divide by 3 to get x=3.",Solve x+y=7 for y: y = 7-x.,Use inverse operations to move every other term away from the variable.,Get the variable alone on one side.,coefficient-grade-8; constant-of-proportionality-grade-8; constraint-grade-8; context-check-grade-8,DONE (OCR from card),ee8_isolate
lcd-grade-8,LCD,8th,8.EE.C.7b,8.EE.C.7b,Expressions & Equations,Expressions & Equations,,"The least common denominator, the smallest multiple shared by all denominators. Multiplying every term of an equation by the LCD clears the fractions.","Denominators 2, 3, 6 have LCD = 6.","Multiply every term by the LCD, including whole numbers.","Multiply every term, not just the fractions.",Clear the fractions by multiplying by the LCD.,coefficient-grade-8; constant-of-proportionality-grade-8; constraint-grade-8; context-check-grade-8,DONE (OCR from card),ee8_lcd
like-base-grade-8,Like Base,8th,8.EE.A.1,8.EE.A.1,Expressions & Equations,Expressions & Equations,,The same base appearing in two or more powers. Exponent rules such as adding or subtracting exponents only apply when the bases are identical.,5³ · 5² = 5⁵ works because the bases match.,2³ · 5⁴ stays as it is — different bases don't combine.,Exponent rules only work when the bases match.,Same base — then the exponent rules apply.,coefficient-grade-8; constant-of-proportionality-grade-8; constraint-grade-8; context-check-grade-8,DONE (OCR from card),ee8_likebase
like-terms-grade-8,Like Terms,8th,8.EE.C.7b,8.EE.C.7b,Expressions & Equations,Expressions & Equations,,Terms that have the same variable raised to the same exponent. They can be combined by adding or subtracting their coefficients.,3x + 2x = 5x (like terms).,3x and 3x² are unlike terms — different exponents.,Only combine like terms — the variable part must match exactly.,"Same variable, same exponent — combine them.",coefficient-grade-8; constant-of-proportionality-grade-8; constraint-grade-8; context-check-grade-8,DONE (OCR from card),ee8_liketerms
matching-exponents-grade-8,Matching Exponents,8th,8.EE.A.4,8.EE.A.4,Expressions & Equations,Expressions & Equations,,"Adjusting numbers in scientific notation so their powers of ten are equal, which is required before adding or subtracting them.","4.2×10⁵ + 3.0×10⁴: rewrite 3.0×10⁴ as 0.3×10⁵, then add: 4.5×10⁵.",Multiplying and dividing do NOT need matching exponents — only adding and subtracting do.,"Make the exponents match first, then add or subtract the coefficients.",Match the powers of ten before adding.,coefficient-grade-8; constant-of-proportionality-grade-8; constraint-grade-8; context-check-grade-8,DONE (OCR from card),ee8_matchingexponents
negative-exponent-grade-8,Negative Exponent,8th,8.EE.A.1,8.EE.A.1,Expressions & Equations,Expressions & Equations,,"A base raised to a negative power equals one over the base raised to the positive power. It indicates a reciprocal, not a negative value.","2⁻³ = 1/8, NOT -8.",A negative exponent moves the power to the denominator.,A negative exponent does not make the number negative — it signals a reciprocal.,"Flip to the reciprocal, make the exponent positive.",coefficient-grade-8; constant-of-proportionality-grade-8; constraint-grade-8; context-check-grade-8,DONE (OCR from card),ee8_negativeexponent
no-solution-grade-8,No Solution,8th,8.EE.C.7a,8.EE.C.7a,Expressions & Equations,Expressions & Equations,,"Occurs when solving an equation eliminates the variable and leaves a false statement. The two sides can never be equal, shown graphically by parallel lines.",2x+5=2x+3 simplifies to 5=3 — false.,"Graphically, the two lines are parallel and never intersect.",A false statement with no variable left means no solution.,"Variable disappears, statement is false — no solution.",coefficient-grade-8; constant-of-proportionality-grade-8; constraint-grade-8; context-check-grade-8,DONE (OCR from card),ee8_nosolution
origin-grade-8,Origin,8th,8.EE.B.5,8.EE.B.5,Expressions & Equations,Expressions & Equations,,"The point where the x-axis and y-axis intersect on a coordinate plane, with coordinates zero, zero. Proportional relationships always pass through the origin.","Every proportional graph passes through (0,0).","Buy 0 items, pay 0 dollars — that's the origin in context.",Proportional relationships always pass through the origin; non-proportional ones don't.,"Where the axes cross — (0,0).",coefficient-grade-8; constant-of-proportionality-grade-8; constraint-grade-8; context-check-grade-8,DONE (OCR from card),ee8_origin
parallel-lines-grade-8,Parallel Lines,8th,8.EE.C.8a,8.EE.C.8a,Expressions & Equations,Expressions & Equations,,Lines in the same plane with equal slopes that never intersect. A system made of parallel lines has no solution.,y=2x+1 and y=2x+4 have the same slope (2) but different y-intercepts.,"If solving the system gives a false statement, the lines are parallel.",Parallel lines have the same slope but different y-intercepts.,"Same slope, different starting point, never meet.",coefficient-grade-8; constant-of-proportionality-grade-8; constraint-grade-8; context-check-grade-8,DONE (OCR from card),ee8_parallellines
perfect-cube-grade-8,Perfect Cube,8th,8.EE.A.2,8.EE.A.2,Expressions & Equations,Expressions & Equations,,A number that is the product of an integer used three times as a factor. Its cube root is a whole number.,27 is a perfect cube because 3×3×3=27.,"1, 8, 27, 64, 125 are all perfect cubes.",The cube root of a perfect cube is always a whole number.,"An integer, cubed.",coefficient-grade-8; constant-of-proportionality-grade-8; constraint-grade-8; context-check-grade-8,DONE (OCR from card),ee8_perfectcube
power-of-10-grade-8,Power of 10,8th,8.EE.A.3,8.EE.A.3,Expressions & Equations,Expressions & Equations,,Ten raised to an exponent. A positive exponent gives a large number and shifts the decimal right; a negative exponent gives a small number and shifts the decimal left.,"3.6 × 10⁵ = 360,000 (decimal moves 5 places right).",3.6 × 10⁻⁴ = 0.00036 (decimal moves 4 places left).,"The exponent tells how many places, and which direction, the decimal moves.",Tells how many places the decimal moves.,coefficient-grade-8; constant-of-proportionality-grade-8; constraint-grade-8; context-check-grade-8,DONE (OCR from card),ee8_powerof10
power-of-a-power-grade-8,Power of a Power,8th,8.EE.A.1,8.EE.A.1,Expressions & Equations,Expressions & Equations,,"When raising a power to another power, keep the base and multiply the exponents. The quantity x to the a, raised to the b, equals x to the a times b.",(x³)⁴ = x^(3×4) = x¹².,"Add exponents for the product rule, but multiply for power of a power.",Multiply the exponents when raising a power to another power.,"Keep the base, multiply the exponents.",coefficient-grade-8; constant-of-proportionality-grade-8; constraint-grade-8; context-check-grade-8,DONE (OCR from card),ee8_powerofapower
product-rule-grade-8,Product Rule,8th,8.EE.A.1,8.EE.A.1,Expressions & Equations,Expressions & Equations,,"When multiplying powers with the same base, keep the base and add the exponents. x to the a times x to the b equals x to the a plus b.",x³ · x⁴ = x⁷.,Only works with the same base — x² · y⁴ does NOT combine.,Add the exponents when multiplying powers with the same base.,"Same base, multiplying — add the exponents.",coefficient-grade-8; constant-of-proportionality-grade-8; constraint-grade-8; context-check-grade-8,DONE (OCR from card),ee8_productrule
proportional-relationship-grade-8,Proportional Relationship,8th,8.EE.B.5,8.EE.B.5,Expressions & Equations,Expressions & Equations,,"A relationship between two quantities with a constant ratio, written y equals k times x. Its graph is a straight line through the origin.","3/1 = 6/2 = 9/3 = 3, so y is always 3 times x.",Test: does y divided by x give the same number every time?,A proportional relationship's graph is always a straight line through the origin.,"Same ratio every time, line through the origin.",coefficient-grade-8; constant-of-proportionality-grade-8; constraint-grade-8; context-check-grade-8,DONE (OCR from card),ee8_proportionalrelationship
quotient-rule-grade-8,Quotient Rule,8th,8.EE.A.1,8.EE.A.1,Expressions & Equations,Expressions & Equations,,"When dividing powers with the same base, keep the base and subtract the exponents. x to the a divided by x to the b equals x to the a minus b.",x⁷ ÷ x³ = x⁴.,Order matters — it's the top exponent minus the bottom exponent.,Subtract the exponents (top minus bottom) when dividing powers with the same base.,"Same base, dividing — subtract the exponents.",coefficient-grade-8; constant-of-proportionality-grade-8; constraint-grade-8; context-check-grade-8,DONE (OCR from card),ee8_quotientrule
reciprocal-grade-8,Reciprocal,8th,8.EE.C.7b,8.EE.C.7b,Expressions & Equations,Expressions & Equations,,"The multiplicative inverse of a number, formed by flipping a fraction. A number times its reciprocal equals one.",(2/3) × (3/2) = 1.,"To solve (2/3)x = 8, multiply both sides by the reciprocal 3/2 to get x = 12.","To undo multiplying by a fraction, multiply by its reciprocal.",Flip the fraction to undo multiplication.,coefficient-grade-8; constant-of-proportionality-grade-8; constraint-grade-8; context-check-grade-8,DONE (OCR from card),ee8_reciprocal
renormalize-grade-8,Renormalize,8th,8.EE.A.4,8.EE.A.4,Expressions & Equations,Expressions & Equations,,"To rewrite a number so the coefficient is between 1 and 10, adjusting the power of ten accordingly. Needed after multiplying or adding in scientific notation.",42 × 10⁵ renormalizes to 4.2 × 10⁶.,0.6 × 10⁵ renormalizes to 6 × 10⁴.,"If the coefficient is 10 or more, move the decimal left and add to the exponent; if less than 1, move right and subtract.",Adjust the coefficient back between 1 and 10.,coefficient-grade-8; constant-of-proportionality-grade-8; constraint-grade-8; context-check-grade-8,DONE (OCR from card),ee8_renormalize
rise-over-run-grade-8,Rise Over Run,8th,8.EE.B.6,8.EE.B.6,Expressions & Equations,Expressions & Equations,,"A method for finding slope by counting the vertical change (rise) and horizontal change (run) between two points on a line, then dividing rise by run.","Rise 3, run 4 gives a slope of 3/4.","Count the rise first (up/down), then the run (always to the right).",Slope = rise ÷ run.,"Count up, then count over.",coefficient-grade-8; constant-of-proportionality-grade-8; constraint-grade-8; context-check-grade-8,DONE (OCR from card),ee8_riserun
