slug,term,grade,primary_ccss,all_ccss,strand,all_strands,merged,definition,example_1,example_2,key_rule,memory_hook,related_terms,content_status,source_cards
segment-bisector-geometry,Segment Bisector,Geometry,HSG-CO.A.1,HSG-CO.A.1,"Points, Lines & Angles","Points, Lines & Angles",NO,"A line, ray, or segment that divides another segment into two equal parts at its midpoint.","A segment bisector passes through midpoint M, cutting the segment into two equal halves.",Any line through a segment's midpoint is a segment bisector of that segment.,A segment bisector always passes through the midpoint.,Cuts a segment exactly in half.,midpoint-geometry; angle-bisector-geometry; congruent-segments-geometry,DONE (OCR from card),geofd_segmentbisector.png
angle-bisector-geometry,Angle Bisector,Geometry,HSG-CO.A.1,HSG-CO.A.1,"Points, Lines & Angles","Points, Lines & Angles",NO,A ray that divides an angle into two congruent (equal) angles.,An angle bisector splits an 80 degree angle into two 40 degree angles.,An angle bisector of a 60 degree angle creates two 30 degree angles.,An angle bisector always creates two congruent angles.,Cuts an angle exactly in half.,segment-bisector-geometry; congruent-angles-geometry; angle-geometry,DONE (OCR from card),geofd_anglebisector.png
congruent-segments-geometry,Congruent Segments,Geometry,HSG-CO.A.1,HSG-CO.A.1,"Points, Lines & Angles","Points, Lines & Angles",NO,"Segments that have equal length, indicated by matching tick marks.","If AB = CD, the segments are congruent, shown with matching tick marks.",Two 6 cm segments are congruent because they have equal length.,Matching tick marks on a diagram show which segments are congruent.,"Same length, matching tick marks.",line-segment-geometry; congruent-angles-geometry; midpoint-geometry,DONE (OCR from card),geofd_congruentsegments.png
congruent-angles-geometry,Congruent Angles,Geometry,HSG-CO.A.1,HSG-CO.A.1,"Points, Lines & Angles","Points, Lines & Angles",NO,"Angles that have equal measure, indicated by matching arc marks.","If angle 1 = angle 2, the angles are congruent, shown with matching arc marks.",Two 50 degree angles are congruent because they have equal measure.,Matching arc marks on a diagram show which angles are congruent.,"Same measure, matching arc marks.",congruent-segments-geometry; vertical-angles-geometry; angle-geometry,DONE (OCR from card),geofd_congruentangles.png
complementary-angles-geometry,Complementary Angles,Geometry,HSG-CO.A.1,HSG-CO.A.1,"Points, Lines & Angles","Points, Lines & Angles",NO,Two angles whose measures have a sum of 90 degrees.,60 degrees and 30 degrees are complementary because 60 + 30 = 90.,20 degrees and 70 degrees are complementary because 20 + 70 = 90.,Complementary angles always add up to exactly 90 degrees.,"'C' for complementary, 'c' for corner — they add to 90 degrees.",supplementary-angles-geometry; right-angle-geometry; angle-geometry,DONE (OCR from card),geofd_complementaryangles.png
supplementary-angles-geometry,Supplementary Angles,Geometry,HSG-CO.A.1,HSG-CO.A.1,"Points, Lines & Angles","Points, Lines & Angles",NO,Two angles whose measures have a sum of 180 degrees.,110 degrees and 70 degrees are supplementary because 110 + 70 = 180.,150 degrees and 30 degrees are supplementary because 150 + 30 = 180.,Supplementary angles always add up to exactly 180 degrees.,"'S' for supplementary, 's' for straight — they add to 180 degrees.",complementary-angles-geometry; linear-pair-geometry; straight-angle-geometry,DONE (OCR from card),geofd_supplementaryangles.png
vertical-angles-geometry,Vertical Angles,Geometry,HSG-CO.A.1,HSG-CO.A.1,"Points, Lines & Angles","Points, Lines & Angles",NO,"The pair of opposite, congruent angles formed when two lines intersect.","When two lines cross, the opposite angles are vertical angles and always equal, such as 50 = 50 degrees.",Vertical angles are never adjacent — they sit directly across from each other.,Vertical angles are always congruent.,"Across the X, the angles match.",adjacent-angles-geometry; congruent-angles-geometry; linear-pair-geometry,DONE (OCR from card),geofd_verticalangles.png
adjacent-angles-geometry,Adjacent Angles,Geometry,HSG-CO.A.1,HSG-CO.A.1,"Points, Lines & Angles","Points, Lines & Angles",NO,Two angles that share a common vertex and side but have no interior points in common.,Angle 1 and angle 2 share a vertex and a side without overlapping.,Two angles that together form a straight line are adjacent angles.,Adjacent angles share a vertex and a side but never overlap.,"Next-door angles — sharing a side, not overlapping.",vertical-angles-geometry; linear-pair-geometry; angle-geometry,DONE (OCR from card),geofd_adjacentangles.png
linear-pair-geometry,Linear Pair,Geometry,HSG-CO.A.1,HSG-CO.A.1,"Points, Lines & Angles","Points, Lines & Angles",NO,"Two adjacent angles that form a straight line, so their measures sum to 180 degrees.",A linear pair of 130 and 50 degrees sums to 180 degrees.,Any two adjacent angles whose non-shared sides form a straight line are a linear pair.,A linear pair is always supplementary — the angles sum to 180 degrees.,Adjacent angles that make a straight line.,supplementary-angles-geometry; adjacent-angles-geometry; straight-angle-geometry,DONE (OCR from card),geofd_linearpair.png
perpendicular-geometry,Perpendicular,Geometry,HSG-CO.A.1,HSG-CO.A.1,"Points, Lines & Angles","Points, Lines & Angles",NO,"Two lines, rays, or segments that intersect to form right angles.","Perpendicular lines meet at a right angle (90 degrees), written AB perpendicular to CD.",The two sides of a square meet perpendicular to each other.,Perpendicular lines always cross at exactly 90 degrees.,Crosses like a plus sign — always at 90 degrees.,right-angle-geometry; perpendicular-lines-geometry; perpendicular-slopes-geometry,DONE (OCR from card),geofd_perpendicular.png
parallel-lines-geometry,Parallel Lines,Geometry,HSG-CO.C.9,HSG-CO.C.9,Parallel Lines & Angle Pairs,Parallel Lines & Angle Pairs,NO,Lines in the same plane that never intersect and stay an equal distance apart.,"Line m and line n are parallel, written m parallel to n.",Railroad tracks are a real-world example of parallel lines.,Parallel lines are marked with matching arrowheads and never meet.,"Same distance apart, forever — never touching.",transversal-geometry; perpendicular-lines-geometry; corresponding-angles-geometry,DONE (OCR from card),geopa_parallellines.png
transversal-geometry,Transversal,Geometry,HSG-CO.C.9,HSG-CO.C.9,Parallel Lines & Angle Pairs,Parallel Lines & Angle Pairs,NO,A line that intersects two or more coplanar lines at distinct points.,"Transversal t crosses two parallel lines, creating 8 angles at the two intersections.",A transversal crossing two lines creates pairs like corresponding and alternate interior angles.,A transversal creates eight angles when it crosses two lines.,The line that cuts across two others.,parallel-lines-geometry; corresponding-angles-geometry; alternate-interior-angles-geometry,DONE (OCR from card),geopa_transversal.png
corresponding-angles-geometry,Corresponding Angles,Geometry,HSG-CO.C.9,HSG-CO.C.9,Parallel Lines & Angle Pairs,Parallel Lines & Angle Pairs,NO,Angles in matching positions at two intersections of a transversal; congruent when the lines are parallel.,70 = 70 degrees for a pair of corresponding angles on parallel lines.,The top-left angle at each intersection is a pair of corresponding angles.,Corresponding angles are congruent only when the two lines are parallel.,Same position at each crossing.,alternate-interior-angles-geometry; alternate-exterior-angles-geometry; transversal-geometry,DONE (OCR from card),geopa_correspondingangles.png
alternate-interior-angles-geometry,Alternate Interior Angles,Geometry,HSG-CO.C.9,HSG-CO.C.9,Parallel Lines & Angle Pairs,Parallel Lines & Angle Pairs,NO,Congruent angles between two parallel lines on opposite sides of the transversal.,65 = 65 degrees for a pair of alternate interior angles on parallel lines.,Alternate interior angles form a 'Z' pattern between the two lines.,Alternate interior angles are congruent only when the lines are parallel.,"Inside the lines, opposite sides — the 'Z' pattern.",alternate-exterior-angles-geometry; co-interior-angles-geometry; corresponding-angles-geometry,DONE (OCR from card),geopa_alternateinteriorangles.png
alternate-exterior-angles-geometry,Alternate Exterior Angles,Geometry,HSG-CO.C.9,HSG-CO.C.9,Parallel Lines & Angle Pairs,Parallel Lines & Angle Pairs,NO,Congruent angles outside two parallel lines on opposite sides of the transversal.,115 = 115 degrees for a pair of alternate exterior angles on parallel lines.,"Alternate exterior angles sit above and below both parallel lines, on opposite sides of the transversal.",Alternate exterior angles are congruent only when the lines are parallel.,"Outside the lines, opposite sides.",alternate-interior-angles-geometry; corresponding-angles-geometry; co-interior-angles-geometry,DONE (OCR from card),geopa_alternateexteriorangles.png
co-interior-angles-geometry,Co-Interior Angles,Geometry,HSG-CO.C.9,HSG-CO.C.9,Parallel Lines & Angle Pairs,Parallel Lines & Angle Pairs,NO,Same-side interior angles between two parallel lines that sum to 180 degrees.,120 + 60 = 180 degrees for a pair of co-interior angles on parallel lines.,"Co-interior angles sit between the lines, on the same side of the transversal.",Co-interior angles are supplementary when the lines are parallel.,"Same side, inside — they add to 180 degrees.",alternate-interior-angles-geometry; alternate-exterior-angles-geometry; corresponding-angles-geometry,DONE (OCR from card),geopa_cointeriorangles.png
perpendicular-lines-geometry,Perpendicular Lines,Geometry,HSG-CO.C.9,HSG-CO.C.9,Parallel Lines & Angle Pairs,Parallel Lines & Angle Pairs,NO,Two lines that intersect to form right angles.,"Perpendicular lines intersect at 90 degrees, forming four right angles, written a perpendicular to b.",The x-axis and y-axis are perpendicular lines.,Perpendicular lines always create four 90 degree angles at their intersection.,Crossing lines that make right angles.,parallel-lines-geometry; perpendicular-geometry; perpendicular-slopes-geometry,DONE (OCR from card),geopa_perpendicularlines.png
scalene-triangle-geometry,Scalene Triangle,Geometry,HSG-CO.C.10,HSG-CO.C.10,Triangles & Congruence,Triangles & Congruence,NO,A triangle with all three sides of different lengths.,"A triangle with sides 5, 7, and 9 is scalene — no two sides match.",A scalene triangle also has no two equal angles.,A scalene triangle has no congruent sides and no congruent angles.,All different — no matching sides.,isosceles-triangle-geometry; equilateral-triangle-geometry; triangle-angle-sum-geometry,DONE (OCR from card),geotr_scalenetriangle.png
isosceles-triangle-geometry,Isosceles Triangle,Geometry,HSG-CO.C.10,HSG-CO.C.10,Triangles & Congruence,Triangles & Congruence,NO,A triangle with at least two congruent sides and two congruent base angles.,A triangle with two 7-unit sides and a 5-unit base is isosceles.,The two base angles across from the equal sides are always congruent.,An isosceles triangle's base angles are always congruent.,"At least two sides match, and so do the base angles.",scalene-triangle-geometry; equilateral-triangle-geometry; triangle-angle-sum-geometry,DONE (OCR from card),geotr_isoscelestriangle.png
equilateral-triangle-geometry,Equilateral Triangle,Geometry,HSG-CO.C.10,HSG-CO.C.10,Triangles & Congruence,Triangles & Congruence,NO,A triangle with three congruent sides and three 60 degree angles.,An equilateral triangle has three 60 degree angles: 60 x 3 = 180.,All three sides of an equilateral triangle are equal in length.,"Every equilateral triangle is also isosceles, but not every isosceles triangle is equilateral.",All equal — sides and angles alike.,isosceles-triangle-geometry; scalene-triangle-geometry; triangle-angle-sum-geometry,DONE (OCR from card),geotr_equilateraltriangle.png
triangle-angle-sum-geometry,Triangle Angle Sum,Geometry,HSG-CO.C.10,HSG-CO.C.10,Triangles & Congruence,Triangles & Congruence,NO,The interior angles of any triangle always add up to 180 degrees.,50 + 60 + 70 = 180 degrees.,"In an equilateral triangle, each angle is 60, so 60 + 60 + 60 = 180.",The three interior angles of any triangle sum to exactly 180 degrees.,Every triangle's angles add to 180 degrees.,exterior-angle-theorem-geometry; isosceles-triangle-geometry; equilateral-triangle-geometry,DONE (OCR from card),geotr_triangleanglesum.png
exterior-angle-theorem-geometry,Exterior Angle Theorem,Geometry,HSG-CO.C.10,HSG-CO.C.10,Triangles & Congruence,Triangles & Congruence,NO,An exterior angle of a triangle equals the sum of the two non-adjacent (remote) interior angles.,"50 + 60 = 110 degrees, so the exterior angle measures 110 degrees.","If the remote interior angles are 40 and 75 degrees, the exterior angle is 115 degrees.",An exterior angle always equals the sum of the two remote interior angles.,The outside angle equals the two far-away inside angles added up.,triangle-angle-sum-geometry; isosceles-triangle-geometry,DONE (OCR from card),geotr_exteriorangletheorem.png
sss-congruence-geometry,SSS Congruence,Geometry,HSG-SRT.B.5,HSG-SRT.B.5,Triangles & Congruence,Triangles & Congruence,NO,Triangles are congruent if all three pairs of corresponding sides are equal.,"If three sides of one triangle equal three sides of another, the triangles are congruent by SSS.",Triangles with sides 3-4-5 and 3-4-5 are congruent by SSS.,SSS needs all three side pairs to match — no angles required.,"Side, Side, Side — three matching sides prove it.",sas-congruence-geometry; asa-congruence-geometry; aas-congruence-geometry; cpctc-geometry,DONE (OCR from card),geotr_sss.png
sas-congruence-geometry,SAS Congruence,Geometry,HSG-SRT.B.5,HSG-SRT.B.5,Triangles & Congruence,Triangles & Congruence,NO,Triangles are congruent if two sides and the angle between them are equal.,Two sides and the included angle matching proves triangles congruent by SAS.,"Triangles with sides 5 and 7 and an included 40 degree angle, matched in both triangles, are congruent by SAS.",The angle in SAS must be the included angle — the one between the two given sides.,"Side, Angle, Side — the angle must be sandwiched between the sides.",sss-congruence-geometry; asa-congruence-geometry; hl-congruence-geometry,DONE (OCR from card),geotr_sas.png
asa-congruence-geometry,ASA Congruence,Geometry,HSG-SRT.B.5,HSG-SRT.B.5,Triangles & Congruence,Triangles & Congruence,NO,Triangles are congruent if two angles and the side between them are equal.,Two angles and the included side matching proves triangles congruent by ASA.,Triangles with 40 and 60 degree angles and a matching included side are congruent by ASA.,The side in ASA must be the included side — the one between the two given angles.,"Angle, Side, Angle — the side must be sandwiched between the angles.",sas-congruence-geometry; aas-congruence-geometry; sss-congruence-geometry,DONE (OCR from card),geotr_asa.png
aas-congruence-geometry,AAS Congruence,Geometry,HSG-SRT.B.5,HSG-SRT.B.5,Triangles & Congruence,Triangles & Congruence,NO,Triangles are congruent if two angles and a non-included side are equal.,"Two angles and a side that is NOT between them, matched in both triangles, proves congruence by AAS.",Triangles with 30 and 70 degree angles and a matching non-included side are congruent by AAS.,AAS uses a side that is not between the two given angles.,"Angle, Angle, Side — the side sits outside the two angles.",asa-congruence-geometry; sas-congruence-geometry; hl-congruence-geometry,DONE (OCR from card),geotr_aas.png
hl-congruence-geometry,HL Congruence,Geometry,HSG-SRT.B.5,HSG-SRT.B.5,Triangles & Congruence,Triangles & Congruence,NO,Right triangles are congruent if their hypotenuses and one pair of legs are equal.,Two right triangles with equal hypotenuses and one equal leg are congruent by HL.,"HL only applies to right triangles, since it relies on the hypotenuse.",HL only works for right triangles.,Hypotenuse and one Leg — right triangles only.,sss-congruence-geometry; sas-congruence-geometry; hypotenuse-geometry,DONE (OCR from card),geotr_hl.png
cpctc-geometry,CPCTC,Geometry,HSG-SRT.B.5,HSG-SRT.B.5,Triangles & Congruence,Triangles & Congruence,NO,"Corresponding Parts of Congruent Triangles are Congruent, used after a congruence proof.","Once two triangles are proven congruent, every corresponding side and angle is congruent.","After proving triangle ABC is congruent to triangle DEF, CPCTC lets you conclude angle A is congruent to angle D.","CPCTC only applies after congruence has already been proven, such as by SSS, SAS, ASA, AAS, or HL.","Once congruent, every matching part is congruent.",sss-congruence-geometry; sas-congruence-geometry; congruent-angles-geometry,DONE (OCR from card),geotr_cpctc.png
median-of-a-triangle-geometry,Median of a Triangle,Geometry,HSG-CO.C.10,HSG-CO.C.10,Triangles & Congruence,Triangles & Congruence,NO,A segment from a vertex to the midpoint of the opposite side.,A median joins vertex A to midpoint M of the opposite side BC.,"Every triangle has exactly three medians, one from each vertex.",A median always connects a vertex to the midpoint of the opposite side.,Vertex to the midpoint of the far side.,centroid-geometry; altitude-of-a-triangle-geometry; midsegment-geometry,DONE (OCR from card),geotr_median.png
altitude-of-a-triangle-geometry,Altitude of a Triangle,Geometry,HSG-CO.C.10,HSG-CO.C.10,Triangles & Congruence,Triangles & Congruence,NO,A perpendicular segment from a vertex to the line containing the opposite side.,The altitude from vertex A is perpendicular to side BC — it's the triangle's height.,"Every triangle has three altitudes, one from each vertex.",An altitude always meets the opposite side at a right angle.,"The triangle's height — straight down, at 90 degrees.",median-of-a-triangle-geometry; midsegment-geometry; circumcenter-geometry,DONE (OCR from card),geotr_altitude.png
midsegment-geometry,Midsegment,Geometry,HSG-CO.C.10,HSG-CO.C.10,Triangles & Congruence,Triangles & Congruence,NO,"A segment joining the midpoints of two sides of a triangle, parallel to the third side and half its length.",A midsegment is half the length of the base it's parallel to.,"If the base of a triangle is 10 units, its midsegment is 5 units.",A midsegment is always parallel to the third side and exactly half its length.,"Half the length, parallel to the far side.",median-of-a-triangle-geometry; altitude-of-a-triangle-geometry,DONE (OCR from card),geotr_midsegment.png
centroid-geometry,Centroid,Geometry,HSG-CO.C.10,HSG-CO.C.10,Triangles & Congruence,Triangles & Congruence,NO,"The point of intersection of a triangle's three medians, also its center of gravity.",The centroid splits each median in a 2:1 ratio from the vertex.,A triangle balances perfectly if supported at its centroid.,"The centroid always splits each median 2:1, measured from the vertex.",Where the medians meet — the balance point.,median-of-a-triangle-geometry; circumcenter-geometry,DONE (OCR from card),geotr_centroid.png
circumcenter-geometry,Circumcenter,Geometry,HSG-CO.C.10,HSG-CO.C.10,Triangles & Congruence,Triangles & Congruence,NO,"The point where a triangle's three perpendicular bisectors meet, equidistant from the vertices.",The circumcenter is the center of the circle that passes through all three vertices.,Distances from the circumcenter to each vertex are always equal.,The circumcenter is equidistant from all three vertices of the triangle.,Where the perpendicular bisectors cross — center of the circumscribed circle.,centroid-geometry; median-of-a-triangle-geometry,DONE (OCR from card),geotr_circumcenter.png
similar-figures-geometry,Similar Figures,Geometry,HSG-SRT.A.2,HSG-SRT.A.2,Similarity & Right Triangles,Similarity & Right Triangles,NO,"Figures with the same shape, having congruent angles and proportional side lengths.","Triangle ABC ~ Triangle DEF with side ratios 6:3 = 8:4 = 10:5 = 2, so the figures are similar.","Two rectangles are similar if their side lengths share the same ratio, like 4:2 and 8:4.",Similar figures always have congruent angles and proportional sides.,"Same shape, different size — angles match, sides scale.",scale-factor-geometry; aa-similarity-geometry,DONE (OCR from card),geosr_similarfigures.png
scale-factor-geometry,Scale Factor,Geometry,HSG-SRT.A.2,HSG-SRT.A.2,Similarity & Right Triangles,Similarity & Right Triangles,NO,"The ratio of corresponding lengths in similar figures, used to enlarge or reduce.","If a figure's sides double, the scale factor is 2.",A scale factor of 1/2 shrinks a figure to half its original size.,A scale factor greater than 1 enlarges; less than 1 reduces.,The multiplier that resizes similar figures.,similar-figures-geometry; dilation-geometry,DONE (OCR from card),geosr_scalefactor.png
aa-similarity-geometry,AA Similarity,Geometry,HSG-SRT.A.3,HSG-SRT.A.3,Similarity & Right Triangles,Similarity & Right Triangles,NO,Two triangles are similar if two pairs of corresponding angles are congruent.,"If two angles of one triangle equal two angles of another, the triangles are similar by AA.",Matching 40 and 60 degree angles in two triangles proves similarity by AA.,Only two angle pairs are needed to prove triangle similarity — the third angle pair follows automatically.,Two matching angles is enough — the third takes care of itself.,similar-figures-geometry; scale-factor-geometry,DONE (OCR from card),geosr_aasimilarity.png
pythagorean-theorem-geometry,Pythagorean Theorem,Geometry,HSG-SRT.C.8,HSG-SRT.C.8,Similarity & Right Triangles,Similarity & Right Triangles,NO,"In a right triangle, a squared plus b squared equals c squared, where c is the hypotenuse.","3 squared + 4 squared = 9 + 16 = 25 = 5 squared, so c = 5.","6 squared + 8 squared = 36 + 64 = 100 = 10 squared, so c = 10.","The Pythagorean theorem only works for right triangles, and c is always the hypotenuse.","a squared plus b squared equals c squared, right triangles only.",hypotenuse-geometry; leg-geometry; distance-formula-geometry,DONE (OCR from card),geosr_pythagoreantheorem.png
hypotenuse-geometry,Hypotenuse,Geometry,HSG-SRT.C.8,HSG-SRT.C.8,Similarity & Right Triangles,Similarity & Right Triangles,NO,The side of a right triangle opposite the right angle; it is the longest side.,"In a 3-4-5 right triangle, the side of length 5 is the hypotenuse.","The hypotenuse is always across from the 90 degree angle, never adjacent to it.",The hypotenuse is always the longest side of a right triangle.,The longest side — always across from the right angle.,leg-geometry; pythagorean-theorem-geometry; sine-geometry; cosine-geometry,DONE (OCR from card),geosr_hypotenuse.png
leg-geometry,Leg,Geometry,HSG-SRT.C.8,HSG-SRT.C.8,Similarity & Right Triangles,Similarity & Right Triangles,NO,One of the two sides of a right triangle that form the right angle.,"In a 3-4-5 right triangle, the sides of length 3 and 4 are the legs.","The two legs meet at the right angle, forming the 90 degree corner.",A right triangle has exactly two legs and one hypotenuse.,The two shorter sides that form the right angle.,hypotenuse-geometry; pythagorean-theorem-geometry; tangent-trigonometry-geometry,DONE (OCR from card),geosr_leg.png
45-45-90-triangle-geometry,45-45-90 Triangle,Geometry,HSG-SRT.C.8,HSG-SRT.C.8,Similarity & Right Triangles,Similarity & Right Triangles,NO,An isosceles right triangle whose hypotenuse equals a leg times the square root of 2.,"If each leg is 1, the hypotenuse is the square root of 2, giving a side ratio of 1 : 1 : root 2.","If each leg is 5, the hypotenuse is 5 times the square root of 2.","In a 45-45-90 triangle, the two legs are always equal.","Equal legs, hypotenuse is a leg times the square root of 2.",30-60-90-triangle-geometry; pythagorean-theorem-geometry; hypotenuse-geometry,DONE (OCR from card),geosr_specialrighttriangle454590.png
30-60-90-triangle-geometry,30-60-90 Triangle,Geometry,HSG-SRT.C.8,HSG-SRT.C.8,Similarity & Right Triangles,Similarity & Right Triangles,NO,A right triangle whose sides are in the ratio x : x times root 3 : 2x.,"Sides opposite the 30, 60, and 90 degree angles are in ratio x : x root 3 : 2x.","If the shortest side (opposite 30 degrees) is 4, the sides are 4, 4 root 3, and 8.","The side opposite the 30 degree angle is always the shortest, and the hypotenuse is always twice that side.","Short side x, middle side x root 3, hypotenuse 2x.",45-45-90-triangle-geometry; pythagorean-theorem-geometry; hypotenuse-geometry,DONE (OCR from card),geosr_specialrighttriangle306090.png
sine-geometry,Sine,Geometry,HSG-SRT.C.8,HSG-SRT.C.8,Similarity & Right Triangles,Similarity & Right Triangles,NO,"In a right triangle, the ratio of the side opposite an angle to the hypotenuse.",sin(theta) = opposite over hypotenuse (SOH).,"If the opposite side is 3 and the hypotenuse is 5, sin(theta) = 3/5 = 0.6.",Sine always compares the opposite side to the hypotenuse.,SOH — Sine is Opposite over Hypotenuse.,cosine-geometry; tangent-trigonometry-geometry; hypotenuse-geometry,DONE (OCR from card),geosr_sine.png
cosine-geometry,Cosine,Geometry,HSG-SRT.C.8,HSG-SRT.C.8,Similarity & Right Triangles,Similarity & Right Triangles,NO,"In a right triangle, the ratio of the side adjacent to an angle to the hypotenuse.",cos(theta) = adjacent over hypotenuse (CAH).,"If the adjacent side is 4 and the hypotenuse is 5, cos(theta) = 4/5 = 0.8.",Cosine always compares the adjacent side to the hypotenuse.,CAH — Cosine is Adjacent over Hypotenuse.,sine-geometry; tangent-trigonometry-geometry; hypotenuse-geometry,DONE (OCR from card),geosr_cosine.png
