slug,term,grade,primary_ccss,all_ccss,strand,all_strands,merged,definition,example_1,example_2,key_rule,memory_hook,related_terms,content_status,source_cards
domain-algebra,Domain,Algebra,,,Functions & Sequences,Functions & Sequences,NO,The domain is the set of all input values (x-values) for which a function is defined.,"For {(1,2),(3,4)}, the domain is {1, 3}.","For y = x + 5, the domain is all real numbers.",List the x-values; the domain is all allowed inputs.,"Domain = the inputs, the x-values you feed in.",arithmetic-sequence-algebra;common-difference-algebra;common-ratio-algebra;evaluate-a-function-algebra,DONE (OCR from card),a1fn_domain.png
evaluate-a-function-algebra,Evaluate a Function,Algebra,,,Functions & Sequences,Functions & Sequences,NO,To evaluate a function is to substitute an input value into a function and compute the output.,"If f(x) = 2x + 1, then f(3) = 7.","If g(x) = x^2, then g(4) = 16.","Replace x with the input, then simplify.",Evaluate = plug in the number and work it out.,arithmetic-sequence-algebra;common-difference-algebra;common-ratio-algebra;domain-algebra,DONE (OCR from card),a1fn_evaluateafunction.png
function-algebra,Function,Algebra,,,Functions & Sequences,Functions & Sequences,NO,A function is a relation in which each input value is paired with exactly one output value.,"{(1,2),(2,4),(3,6)} is a function.",Each x has only one y.,No input may map to two different outputs.,"Function = one input, one output. No sharing.",arithmetic-sequence-algebra;common-difference-algebra;common-ratio-algebra;domain-algebra,DONE (OCR from card),a1fn_function.png
function-notation-algebra,Function Notation,Algebra,,,Functions & Sequences,Functions & Sequences,NO,"Function notation is a way of writing functions as f(x), where f(x) is the output value for a given input x.",f(x) = 3x means f(2) = 6.,h(x) = x - 1 means h(5) = 4.,f(x) does not mean f times x; it names the output.,"f(x) reads ""f of x"" - the output at input x.",arithmetic-sequence-algebra;common-difference-algebra;common-ratio-algebra;domain-algebra,DONE (OCR from card),a1fn_functionnotation.png
geometric-sequence-algebra,Geometric Sequence,Algebra,,,Functions & Sequences,Functions & Sequences,NO,A geometric sequence is a sequence where each term is multiplied by a constant common ratio.,"3, 6, 12, 24, ... multiplies by 2.","100, 10, 1, ... multiplies by 1/10.",Find the next term by multiplying by the common ratio.,Geometric = multiply by the same amount every step.,arithmetic-sequence-algebra;common-difference-algebra;common-ratio-algebra;domain-algebra,DONE (OCR from card),a1fn_geometricsequence.png
input-and-output-algebra,Input and Output,Algebra,,,Functions & Sequences,Functions & Sequences,NO,The input is the x-value fed into a function and the output is the resulting y-value.,Input x = 3 with rule 2x + 1 gives output 7.,Input x = 0 with rule x - 4 gives output -4.,Apply the rule to the input to produce the output.,"Input goes in, rule runs, output comes out.",arithmetic-sequence-algebra;common-difference-algebra;common-ratio-algebra;domain-algebra,DONE (OCR from card),a1fn_inputoutput.png
range-algebra,Range,Algebra,,,Functions & Sequences,Functions & Sequences,NO,The range is the set of all output values (y-values) a function produces.,"For {(1,2),(3,4)}, the range is {2, 4}.","For y = x^2, the range is y >= 0.",List the y-values; the range is all the outputs.,"Range = the outputs, the y-values you get back.",arithmetic-sequence-algebra;common-difference-algebra;common-ratio-algebra;domain-algebra,DONE (OCR from card),a1fn_range.png
relation-algebra,Relation,Algebra,,,Functions & Sequences,Functions & Sequences,NO,A relation is any set of ordered pairs that pairs input values with output values.,"{(1,2),(3,4),(5,6)} is a relation.","A relation may repeat inputs, unlike a function.","Every function is a relation, but not every relation is a function.",Relation just pairs things - no one-output rule required.,arithmetic-sequence-algebra;common-difference-algebra;common-ratio-algebra;domain-algebra,DONE (OCR from card),a1fn_relation.png
sequence-algebra,Sequence,Algebra,,,Functions & Sequences,Functions & Sequences,NO,A sequence is an ordered list of numbers that follows a rule or pattern.,"2, 4, 6, 8, ... is a sequence.","1, 4, 9, 16, ... is a sequence of squares.",Each term has a position and follows the pattern.,"Sequence = numbers in order, following a rule.",arithmetic-sequence-algebra;common-difference-algebra;common-ratio-algebra;domain-algebra,DONE (OCR from card),a1fn_sequence.png
vertical-line-test-algebra,Vertical Line Test,Algebra,,,Functions & Sequences,Functions & Sequences,NO,The vertical line test says a graph is a function if no vertical line intersects it more than once.,A straight line passes the test.,A circle fails the test.,"If any vertical line hits the graph twice, it is not a function.",One hit per vertical line = it is a function.,arithmetic-sequence-algebra;common-difference-algebra;common-ratio-algebra;domain-algebra,DONE (OCR from card),a1fn_verticallinetest.png
direct-variation-algebra,Direct Variation,Algebra,,,Linear Functions,Linear Functions,NO,"Direct variation is a relationship y = kx where y is a constant multiple k of x, graphing through the origin.",y = 3x is direct variation through the origin.,y = 0.5x is direct variation.,"A direct variation always passes through (0, 0).",Direct variation - straight through the origin.,linear-function-algebra;parallel-lines-algebra;perpendicular-lines-algebra;point-slope-form-algebra,DONE (OCR from card),a1lf_directvariation.png
linear-function-algebra,Linear Function,Algebra,,,Linear Functions,Linear Functions,NO,"A linear function is a function whose graph is a straight line, with a constant rate of change.",y = 2x + 1 is a linear function.,y = -x + 4 is a linear function.,A linear function changes by a constant amount for each step in x.,"Linear = a straight line, steady rate.",direct-variation-algebra;parallel-lines-algebra;perpendicular-lines-algebra;point-slope-form-algebra,DONE (OCR from card),a1lf_linearfunction.png
parallel-lines-algebra,Parallel Lines,Algebra,,,Linear Functions,Linear Functions,NO,Parallel lines are lines in the same plane that never meet because they have equal slopes.,y = 2x + 1 and y = 2x - 3 are parallel.,Both have slope 2.,Parallel lines share the same slope but different y-intercepts.,"Parallel = same slope, never cross.",direct-variation-algebra;linear-function-algebra;perpendicular-lines-algebra;point-slope-form-algebra,DONE (OCR from card),a1lf_parallellines.png
perpendicular-lines-algebra,Perpendicular Lines,Algebra,,,Linear Functions,Linear Functions,NO,"Perpendicular lines are lines that meet at a right angle, with slopes that are negative reciprocals.",Slopes 2 and -1/2 make perpendicular lines.,Slopes 3 and -1/3 are perpendicular.,Multiply the two slopes and you get -1.,Perpendicular = flip it and change the sign.,direct-variation-algebra;linear-function-algebra;parallel-lines-algebra;point-slope-form-algebra,DONE (OCR from card),a1lf_perpendicularlines.png
point-slope-form-algebra,Point-Slope Form,Algebra,,,Linear Functions,Linear Functions,NO,"Point-slope form is the linear equation y - y1 = m(x - x1), built from a point (x1, y1) and slope m.","Through (2, 3) with slope 4: y - 3 = 4(x - 2).","Through (0, 1) with slope -2: y - 1 = -2(x - 0).",Plug the point and slope straight into the formula.,Point-slope: a point plus a slope builds the line.,direct-variation-algebra;linear-function-algebra;parallel-lines-algebra;perpendicular-lines-algebra,DONE (OCR from card),a1lf_pointslopeform.png
rate-of-change-algebra,Rate of Change,Algebra,,,Linear Functions,Linear Functions,NO,Rate of change is how one quantity changes relative to another; for a line it equals the slope.,A cost rising $3 per item has rate of change 3.,Distance of 60 miles per hour is a rate of change.,For a straight line the rate of change is constant.,Rate of change = how fast y moves per unit of x.,direct-variation-algebra;linear-function-algebra;parallel-lines-algebra;perpendicular-lines-algebra,DONE (OCR from card),a1lf_rateofchange.png
slope-algebra,Slope,Algebra,,,Linear Functions,Linear Functions,NO,"Slope is the steepness of a line, found as rise over run, or the change in y over the change in x.","From (0,1) to (2,5), slope = 4/2 = 2.",A horizontal line has slope 0.,slope = rise/run = (y2 - y1)/(x2 - x1).,Slope = rise over run.,direct-variation-algebra;linear-function-algebra;parallel-lines-algebra;perpendicular-lines-algebra,DONE (OCR from card),a1lf_slope.png
slope-intercept-form-algebra,Slope-Intercept Form,Algebra,,,Linear Functions,Linear Functions,NO,"Slope-intercept form is the linear equation y = mx + b, where m is the slope and b is the y-intercept.",y = 2x + 3 has slope 2 and y-intercept 3.,y = -x + 5 has slope -1 and y-intercept 5.,Read the slope and y-intercept straight off the equation.,"y = mx + b: m is the slope, b is where it starts.",direct-variation-algebra;linear-function-algebra;parallel-lines-algebra;perpendicular-lines-algebra,DONE (OCR from card),a1lf_slopeinterceptform.png
standard-form-algebra,Standard Form,Algebra,,,Linear Functions,Linear Functions,NO,"Standard form is a linear equation written Ax + By = C with A, B, and C as integers.",2x + 3y = 6 is in standard form.,x - 4y = 8 is in standard form.,Keep the variables on one side and a constant on the other.,"Standard form: Ax + By = C, integers only.",direct-variation-algebra;linear-function-algebra;parallel-lines-algebra;perpendicular-lines-algebra,DONE (OCR from card),a1lf_standardform.png
x-intercept-algebra,x-Intercept,Algebra,,,Linear Functions,Linear Functions,NO,"The x-intercept is the point where a graph crosses the x-axis, where y = 0.","For y = 2x - 6, the x-intercept is (3, 0).",Set y = 0 and solve for x.,At the x-intercept the y-coordinate is always 0.,"x-intercept: cross the x-axis, y is 0.",direct-variation-algebra;linear-function-algebra;parallel-lines-algebra;perpendicular-lines-algebra,DONE (OCR from card),a1lf_xintercept.png
y-intercept-algebra,y-Intercept,Algebra,,,Linear Functions,Linear Functions,NO,"The y-intercept is the point where a graph crosses the y-axis, where x = 0.","The line y = 2x + 3 crosses the y-axis at (0, 3).","For y = -x + 5, the y-intercept is (0, 5).",At the y-intercept the x-coordinate is always 0.,"y-intercept: cross the y-axis, x is 0.",direct-variation-algebra;linear-function-algebra;parallel-lines-algebra;perpendicular-lines-algebra,DONE (OCR from card),a1lf_yintercept.png
elimination-method-algebra,Elimination Method,Algebra,,,Systems of Equations & Inequalities,Systems of Equations & Inequalities,NO,The elimination method solves a system by adding or subtracting the equations to eliminate one variable.,Add x + y = 6 and x - y = 2 to get 2x = 8.,Multiply an equation first if needed to line up a variable.,Combine the equations so one variable cancels out.,Eliminate = cancel a variable by adding.,solving-by-graphing-algebra;infinitely-many-solutions-algebra;linear-inequality-graph-algebra;no-solution-algebra,DONE (OCR from card),a1sy_eliminationmethod.png
solving-by-graphing-algebra,Solving by Graphing,Algebra,,,Systems of Equations & Inequalities,Systems of Equations & Inequalities,NO,Solving by graphing means graphing each equation and locating the intersection as the solution.,"y = x + 1 and y = -x + 5 meet at (2, 3).",Graph both lines and read where they cross.,The intersection point is the solution to the system.,"Graph both, the crossing point is the answer.",elimination-method-algebra;infinitely-many-solutions-algebra;linear-inequality-graph-algebra;no-solution-algebra,DONE (OCR from card),a1sy_graphingmethod.png
infinitely-many-solutions-algebra,Infinitely Many Solutions,Algebra,,,Systems of Equations & Inequalities,Systems of Equations & Inequalities,NO,"A system has infinitely many solutions when both equations represent the same line, so every point on it is a solution.",y = 2x + 1 and 2y = 4x + 2 are the same line.,The two equations simplify to identical lines.,Same line means every point works - infinite solutions.,Same line twice = infinite solutions.,elimination-method-algebra;solving-by-graphing-algebra;linear-inequality-graph-algebra;no-solution-algebra,DONE (OCR from card),a1sy_infinitesolutions.png
linear-inequality-graph-algebra,Linear Inequality (Graph),Algebra,,,Systems of Equations & Inequalities,Systems of Equations & Inequalities,NO,A graphed linear inequality shows a boundary line and shading on the side that satisfies the inequality.,"Graph y > x + 1 with a dashed line, shaded above.",Use a solid line for <= or >=.,"Dashed for strict, solid for inclusive; shade the true side.","Dashed or solid line, then shade the winning side.",elimination-method-algebra;solving-by-graphing-algebra;infinitely-many-solutions-algebra;no-solution-algebra,DONE (OCR from card),a1sy_linearinequalitygraph.png
no-solution-algebra,No Solution,Algebra,,,Systems of Equations & Inequalities,Systems of Equations & Inequalities,NO,"A system has no solution when the lines are parallel and never intersect, so no ordered pair satisfies both.",y = x + 3 and y = x + 1 are parallel - no solution.,"Same slope, different intercepts means no solution.","Parallel lines never cross, so there is no solution.",Parallel lines never meet = no solution.,elimination-method-algebra;solving-by-graphing-algebra;infinitely-many-solutions-algebra;linear-inequality-graph-algebra,DONE (OCR from card),a1sy_nosolution.png
solution-of-a-system-algebra,Solution of a System,Algebra,,,Systems of Equations & Inequalities,Systems of Equations & Inequalities,NO,"The solution of a system is the ordered pair (x, y) that satisfies all equations in the system.","(2, 3) solves both y = x + 1 and y = -x + 5.",Check the pair in every equation.,A true solution makes each equation in the system true.,One pair that works in every equation.,elimination-method-algebra;solving-by-graphing-algebra;infinitely-many-solutions-algebra;linear-inequality-graph-algebra,DONE (OCR from card),a1sy_solutionofasystem.png
substitution-method-algebra,Substitution Method,Algebra,,,Systems of Equations & Inequalities,Systems of Equations & Inequalities,NO,The substitution method solves a system by replacing one variable with an equivalent expression from the other equation.,"From y = x + 1, substitute into 2x + y = 7.","Solve one equation for a variable, then plug it in.",Substitute to reduce the system to one equation in one variable.,"Substitute one variable, then solve what is left.",elimination-method-algebra;solving-by-graphing-algebra;infinitely-many-solutions-algebra;linear-inequality-graph-algebra,DONE (OCR from card),a1sy_substitutionmethod.png
system-of-equations-algebra,System of Equations,Algebra,,,Systems of Equations & Inequalities,Systems of Equations & Inequalities,NO,"A system of equations is a set of two or more equations with the same variables, solved together.",y = x + 1 and y = -x + 5 form a system.,Solve for values that satisfy every equation at once.,A system is solved by the values common to all equations.,System = equations that share the same variables.,elimination-method-algebra;solving-by-graphing-algebra;infinitely-many-solutions-algebra;linear-inequality-graph-algebra,DONE (OCR from card),a1sy_systemofequations.png
base-algebra,Base,Algebra,,,Polynomials & Exponents,Polynomials & Exponents,NO,"In a power, the base is the value used as the repeated factor.","In 2^3, the base is 2.","In x^5, the base is x.",The exponent tells how many times to multiply the base.,Base = the number doing the repeated multiplying.,binomial-algebra;degree-algebra;exponent-algebra;foil-method-algebra,DONE (OCR from card),a1pe_base.png
binomial-algebra,Binomial,Algebra,,,Polynomials & Exponents,Polynomials & Exponents,NO,A binomial is a polynomial consisting of exactly two terms.,x + 3 is a binomial.,2x^2 - 5 is a binomial.,A binomial has exactly two terms joined by + or -.,Bi = two; a binomial has two terms.,base-algebra;degree-algebra;exponent-algebra;foil-method-algebra,DONE (OCR from card),a1pe_binomial.png
degree-algebra,Degree,Algebra,,,Polynomials & Exponents,Polynomials & Exponents,NO,The degree is the highest exponent on the variable in a polynomial.,3x^4 + 2x - 1 has degree 4.,5x^2 + x has degree 2.,Look for the largest exponent to find the degree.,Degree = the highest power in the polynomial.,base-algebra;binomial-algebra;exponent-algebra;foil-method-algebra,DONE (OCR from card),a1pe_degree.png
exponent-algebra,Exponent,Algebra,,,Polynomials & Exponents,Polynomials & Exponents,NO,An exponent tells how many times the base is multiplied by itself.,"In 2^3 = 8, the exponent is 3.","In x^4, the exponent is 4.",The exponent counts the repeated factors of the base.,Exponent counts the copies of the base.,base-algebra;binomial-algebra;degree-algebra;foil-method-algebra,DONE (OCR from card),a1pe_exponent.png
foil-method-algebra,FOIL Method,Algebra,,,Polynomials & Exponents,Polynomials & Exponents,NO,"The FOIL method multiplies two binomials by combining the First, Outer, Inner, and Last terms.",(x + 2)(x + 3) = x^2 + 5x + 6.,(x - 1)(x + 4) = x^2 + 3x - 4.,"Multiply First, Outer, Inner, Last, then combine like terms.","FOIL: First, Outer, Inner, Last.",base-algebra;binomial-algebra;degree-algebra;exponent-algebra,DONE (OCR from card),a1pe_foilmethod.png
leading-coefficient-algebra,Leading Coefficient,Algebra,,,Polynomials & Exponents,Polynomials & Exponents,NO,"The leading coefficient is the coefficient of the term with the greatest exponent, written first in standard form.","In 3x^2 + 5x - 1, the leading coefficient is 3.","In -x^3 + 2x, the leading coefficient is -1.",Order by exponent; the leading coefficient sits out front.,Leading coefficient leads the highest-power term.,base-algebra;binomial-algebra;degree-algebra;exponent-algebra,DONE (OCR from card),a1pe_leadingcoefficient.png
monomial-algebra,Monomial,Algebra,,,Polynomials & Exponents,Polynomials & Exponents,NO,A monomial is a polynomial consisting of a single term.,5x is a monomial.,-3x^2 is a monomial.,A monomial is just one term with no + or - separating parts.,Mono = one; a monomial is one term.,base-algebra;binomial-algebra;degree-algebra;exponent-algebra,DONE (OCR from card),a1pe_monomial.png
negative-exponent-algebra,Negative Exponent,Algebra,,,Polynomials & Exponents,Polynomials & Exponents,NO,A negative exponent means take the reciprocal: x^-n equals 1 over x^n.,x^-2 = 1/x^2.,2^-3 = 1/8.,Move the base to the other side of the fraction and make the exponent positive.,Negative exponent - flip it to the denominator.,base-algebra;binomial-algebra;degree-algebra;exponent-algebra,DONE (OCR from card),a1pe_negativeexponent.png
