CardID,Grade,CCSS,Domain,SkillName,Statement,Source,PairTitle,PairURL,MatchScore
28,6th Grade,6.SP.B.4,SP,Representing Data,"display numerical data in dot plots, histograms, and box plots",catalog,Data Displays: Dot/Histogram/Box Plots,https://www.teacherspayteachers.com/Product/Dot-Plots-Histograms-Box-Plots-4-in-1-Skill-Sheet-for-6th-Grade-Math-16462898,0.17
29,6th Grade,6.SP.B.4,SP,Data Displays,"read and interpret dot plots, histograms, and box plots to answer questions",catalog,Data Displays: Dot/Histogram/Box Plots,https://www.teacherspayteachers.com/Product/Dot-Plots-Histograms-Box-Plots-4-in-1-Skill-Sheet-for-6th-Grade-Math-16462898,0.55
30,6th Grade,6.SP.B.5,SP,Numerical Data Summaries,"summarize a data set by reporting its count, center, variability, and shape",catalog,Numerical Data Summaries,https://www.teacherspayteachers.com/Product/Mean-Median-IQR-MAD-Numerical-Data-Summaries-4-in-1-Skill-Shee-6th-Math-16462904,1.0
31,6th Grade,6.G.A.1,G,Area of Polygons,find the area of triangles and quadrilaterals by composing and decomposing,catalog,Area of Polygons,https://www.teacherspayteachers.com/Product/Area-of-Polygons-Triangles-Quadrilaterals-Composite-Figures-6th-Math-16462908,1.0
32,6th Grade,6.G.A.2,G,Volume with Fractional Edges,find the volume of right rectangular prisms with fractional edge lengths,catalog,Volume with Fractional Edge Lengths,https://www.teacherspayteachers.com/Product/Volume-with-Fractional-Edge-Lengths-4-in-1-Skill-Sheet-for-6th-Grade-Math-16462912,0.89
33,7th Grade,7.NS.A.1b,NS,Adding Integers,"add integers using absolute value and sign rules, and show sums on a number line",catalog,Adding Integers,https://www.teacherspayteachers.com/Product/Adding-Integers-4-in-1-Skill-Sheet-for-7th-Grade-Math-CCSS-7NSA1b-16336791,1.0
34,7th Grade,7.NS.A.1c,NS,Subtracting Integers,subtract integers by rewriting each difference as adding the opposite,catalog,Subtracting Integers,https://www.teacherspayteachers.com/Product/Subtracting-Integers-4-in-1-Skill-Sheet-for-7th-Grade-Math-CCSS-7NSA1c-16336846,1.0
35,7th Grade,7.NS.A.2a,NS,Multiplying Integers,multiply integers using the rules for signs and explain why they work,catalog,Multiplying Integers,https://www.teacherspayteachers.com/Product/Multiplying-Integers-4-in-1-Skill-Sheet-for-7th-Grade-Math-CCSS-7NSA2a-16336882,1.0
36,7th Grade,7.NS.A.2+A.2b,NS,Dividing Integers,divide integers and recognize when a quotient is positive or negative,catalog,Dividing Integers,https://www.teacherspayteachers.com/Product/Dividing-Integers-4-in-1-Skill-Sheet-for-7th-Grade-Math-CCSS-7NSA2b-16336921,1.0
37,7th Grade,7.NS.A.1,NS,Adding & Subtracting Rationals,"add and subtract rational numbers in any form, including in real-world contexts",catalog,Adding & Subtracting Rationals,https://www.teacherspayteachers.com/Product/Adding-Subtracting-Rationals-4-in-1-Skill-Sheet-7th-Math-CCSS-7NSA1d-16337149,1.0
38,7th Grade,7.NS.A.2,NS,Multiplying & Dividing Rationals,"multiply and divide rational numbers, including fractions and decimals",catalog,Multiplying & Dividing Rationals,https://www.teacherspayteachers.com/Product/Multiplying-Dividing-Rationals-4-in-1-Skill-Sheet-7th-Math-CCSS-7NSA2c-16337232,1.0
39,7th Grade,7.NS.A.2d,NS,Converting Fractions Decimals Percents,"convert between fractions, decimals, and percents, including repeating decimals",catalog,Terminating vs Repeating Decimals,https://www.teacherspayteachers.com/Product/Terminating-and-Repeating-Decimals-Converting-Fractions-4-in-1-Skills-Sheet-16464567,0.58
40,7th Grade,7.RP.A.2,RP,Proportional Relationships,identify the constant of proportionality and write equations in y = kx form,catalog,Constant of Proportionality,https://www.teacherspayteachers.com/Product/Constant-of-Proportionality-4-in-1-Skill-Sheet-7th-Grade-Math-CCSS-7RPA2-16463526,0.52
41,7th Grade,7.RP.A.2+A.3,RP,Proportions & Scale Factor,"set up and solve proportions, including problems with scale factors",catalog,Constant of Proportionality,https://www.teacherspayteachers.com/Product/Constant-of-Proportionality-4-in-1-Skill-Sheet-7th-Grade-Math-CCSS-7RPA2-16463526,0.55
42,7th Grade,7.G.A.1,G,Scale Drawings,"solve problems with scale drawings, computing actual lengths and areas",catalog,Scale Drawings,https://www.teacherspayteachers.com/Product/Scale-Drawings-4-in-1-Skill-Sheet-for-7th-Grade-Math-CCSS-7GA1-16463567,1.0
43,7th Grade,7.G.B.5,G,Angle Relationships,"use complementary, supplementary, and vertical angles to find unknown angles",catalog,Angle Relationships,https://www.teacherspayteachers.com/Product/Angle-Relationships-4-in-1-Skill-Sheet-for-7th-Grade-Math-CCSS-7GB5-16463770,1.0
44,7th Grade,7.G.A.2,G,Triangle Inequality,decide whether three side lengths can form a triangle and find the possible range,catalog,Triangle Construction,https://www.teacherspayteachers.com/Product/Triangle-Construction-4-in-1-Skill-Sheet-for-7th-Grade-Math-CCSS-7GA2-16463795,0.53
45,7th Grade,7.EE.B.4b,EE,Two-Step Inequalities,"solve two-step inequalities, graph the solution, and interpret it in context",catalog,Two-Step Inequalities,https://www.teacherspayteachers.com/Product/Two-Step-Inequalities-4-in-1-Skill-Sheet-for-7th-Grade-Math-CCSS-7EEB4b-16463811,1.0
46,7th Grade,7.EE.A.2,EE,Rewriting Expressions,rewrite an expression in a different form to see a problem in a new way,catalog,Rewriting Expressions,https://www.teacherspayteachers.com/Product/Rewriting-Expressions-4-in-1-Skill-Sheet-for-7th-Grade-Math-CCSS-7EEA2-16463822,1.0
47,7th Grade,7.RP.A.3,RP,Percent Problems,"solve percent problems, including percent of a number, increase, and decrease",catalog,Percent Problems,https://www.teacherspayteachers.com/Product/Percent-Problems-4-in-1-Skill-Sheet-for-7th-Grade-Math-CCSS-7RPA3-16463550,1.0
48,7th Grade,7.EE.A.1,EE,Combining Like Terms (7th),combine like terms with rational coefficients to simplify expressions,catalog,Combining Like Terms (7th),https://www.teacherspayteachers.com/Product/Combining-Like-Terms-4-in-1-Skill-Sheet-for-7th-Grade-Math-CCSS-7EEA1-16337315,1.0
49,7th Grade,7.EE.A.1,EE,Distributive Property (7th),expand and factor linear expressions using the distributive property,catalog,Distributive Property (7th),https://www.teacherspayteachers.com/Product/Distributive-Property-4-in-1-Skill-Sheet-for-7th-Grade-Math-CCSS-7EEA1-16337364,1.0
50,7th Grade,7.RP.A.3,RP,Percent Change,find percent change and work backward to the original amount,catalog,Percent Problems,https://www.teacherspayteachers.com/Product/Percent-Problems-4-in-1-Skill-Sheet-for-7th-Grade-Math-CCSS-7RPA3-16463550,0.57
51,7th Grade,7.EE.B.4a,EE,Two-Step Equations,solve two-step equations and explain each step with properties of operations,catalog,Two-Step Equations,https://www.teacherspayteachers.com/Product/Two-Step-Equations-4-in-1-Skill-Sheet-for-7th-Grade-Math-CCSS-7EEB4a-16337427,1.0
52,7th Grade,7.RP.A.1+A.2,RP,Ratios & Rates,"compute unit rates, including ratios of fractions, to compare situations",catalog,Unit Rates,https://www.teacherspayteachers.com/Product/Unit-Rates-4-in-1-Skill-Sheet-for-7th-Grade-Math-CCSS-7RPA1-16463536,0.6
53,7th Grade,7.RP.A.2,RP,Proportional vs Non-Proportional,"decide whether a table, graph, or equation shows a proportional relationship",catalog,Constant of Proportionality,https://www.teacherspayteachers.com/Product/Constant-of-Proportionality-4-in-1-Skill-Sheet-7th-Grade-Math-CCSS-7RPA2-16463526,0.48
54,7th Grade,7.RP.A.3,RP,Markup & Discount,solve markup and discount problems using percent reasoning,catalog,Percent Problems,https://www.teacherspayteachers.com/Product/Percent-Problems-4-in-1-Skill-Sheet-for-7th-Grade-Math-CCSS-7RPA3-16463550,0.28
55,7th Grade,7.RP.A.3,RP,Simple Interest & Tax,"solve simple interest, tax, and tip problems using percents",catalog,Percent Problems,https://www.teacherspayteachers.com/Product/Percent-Problems-4-in-1-Skill-Sheet-for-7th-Grade-Math-CCSS-7RPA3-16463550,0.25
56,7th Grade,7.SP.C.5+C.6,SP,Probability Basics,describe the probability of an event with a number from 0 to 1,catalog,Probability Scale 0 to 1,https://www.teacherspayteachers.com/Product/Probability-Scale-0-to-1-4-in-1-Skill-Sheet-7th-Grade-Math-CCSS-7SPC5-16464802,0.65
57,7th Grade,7.SP.C.8,SP,Compound Events & Sample Spaces,"find probabilities of compound events using lists, tables, and tree diagrams",catalog,Compound Events,https://www.teacherspayteachers.com/Product/Compound-Events-Independent-and-Dependent-Probability-4-in-1-Skill-Sheet-16464601,0.7
58,7th Grade,7.SP.B.3+B.4,SP,Comparing Populations,compare two populations using measures of center and variability,catalog,Comparing Populations Informally,https://www.teacherspayteachers.com/Product/Comparing-Populations-Informally-4-in-1-Skill-Sheet-7th-Math-CCSS7SPB3-16464829,0.8
59,7th Grade,7.SP.A.1+A.2,SP,Random Sampling,use random samples to draw inferences about a population,catalog,Random Sampling,https://www.teacherspayteachers.com/Product/Random-Sampling-4-in-1-Skill-Sheet-for-7th-Grade-Math-CCSS-7SPA1-16464813,1.0
60,7th Grade,7.SP.C.6+C.7,SP,Experimental vs Theoretical Probability,compare experimental and theoretical probability and explain differences,catalog,Experimental & Theoretical Probability,https://www.teacherspayteachers.com/Product/Experimental-Theoretical-Probability-4-in-1-Skill-Sheet-7th-Grade-Math-16464625,0.97
61,7th Grade,7.G.B.4,G,Circles: Circumference & Area,use formulas to find the circumference and area of a circle,catalog,Circumference & Area of Circles,https://www.teacherspayteachers.com/Product/Circumference-Area-of-Circles-4-in-1-Skill-Sheet-for-7th-Grade-Math-16464925,0.68
62,7th Grade,7.G.A.3,G,Cross Sections of 3D Figures,describe the 2D cross sections that result from slicing 3D figures,catalog,Cross-Sections of 3D Figures,https://www.teacherspayteachers.com/Product/Cross-Sections-of-3D-Figures-4-in-1-Skill-Sheet-7th-Grade-Math-CCSS-7GA3-16464956,1.0
63,7th Grade,7.G.B.6,G,Composite Area & Volume,solve area and volume problems with composite two- and three-dimensional figures,catalog,"Area, Volume, Surface Area (Composite)",https://www.teacherspayteachers.com/Product/Composite-Area-Volume-Surface-Area-4-in-1-Skill-Sheet-for-7th-Grade-Math-16464983,0.41
64,6th Grade,6.EE.A.2b,EE,Identifying Parts of an Expression,"identify the parts of an expression: terms, factors, coefficients, and sums",catalog,Identifying Parts of an Expression,https://www.teacherspayteachers.com/Product/Identifying-Parts-of-an-Expression-Terms-Coefficients-Factors-6th-Math-16462915,1.0
65,8th Grade,8.EE.C.7b,EE,Equations with Rational Coefficients,solve linear equations with rational number coefficients,catalog,Equations with Rational Coefficients,https://www.teacherspayteachers.com/Product/Equations-with-Rational-Coefficients-4-in-1-Skill-Sheet-for-8th-Grade-Math-16465017,1.0
66,8th Grade,8.EE.C.7b,EE,Writing & Solving Equations from Word Problems,write an equation from a word problem and solve it,catalog,Writing & Solving Equations from Word Problems,https://www.teacherspayteachers.com/Product/Writing-Solving-Equations-Word-Problems-4-in-1-Skill-Sheet-8th-Grade-Math-16514442,1.0
67,8th Grade,8.EE.C.7,EE,Two-Step Equations,solve two-step linear equations and check my solution,catalog,Multi-Step Equations,https://www.teacherspayteachers.com/Product/Multi-Step-Equations-8th-Grade-Math-Worksheet-Combine-Like-Terms-16514621,0.82
68,8th Grade,8.EE.A.1,EE,Integer Exponents,apply the properties of integer exponents to generate equivalent expressions,catalog,Negative & Zero Exponents,https://www.teacherspayteachers.com/Product/Negative-Zero-Exponents-Worksheet-8th-Grade-Math-Exponent-Rules-16514598,0.76
69,8th Grade,8.EE.A.3+A.4,EE,Scientific Notation,use scientific notation to express and compare very large and very small numbers,catalog,Scientific Notation Conversion,https://www.teacherspayteachers.com/Product/Scientific-Notation-Conversion-Worksheet-4-in-1-Skill-Sheet-8th-Grade-Math-16514431,0.78
70,8th Grade,8.EE.A.2,EE,Square Roots & Cube Roots,evaluate square roots and cube roots and use them to solve simple equations,catalog,Square & Cube Roots; Perfect Squares/Cubes,https://www.teacherspayteachers.com/Product/Square-Cube-Roots-Perfect-Squares-Cubes-4-in-1-Skill-Sheet-8th-Grade-16514795,0.56
71,8th Grade,8.NS.A.1+A.2,NS,Approximating Irrational Numbers,classify numbers as rational or irrational and estimate irrational values,catalog,Rational vs Irrational Numbers,https://www.teacherspayteachers.com/Product/Rational-vs-Irrational-Numbers-Worksheet-4-in-1-Skill-Sheet-8th-Grade-Math-16514405,0.77
72,8th Grade,8.EE.B.5,EE,Proportional Relationships & Slope,graph proportional relationships and interpret the unit rate as slope,catalog,Proportional Relationships (Graphing),https://www.teacherspayteachers.com/Product/Proportional-Relationships-Unit-Rate-Slope-4-in-1-Skill-Sheet-8th-Grade-16514743,0.83
73,8th Grade,8.EE.B.6,EE,Slope-Intercept Form,use similar triangles to explain slope and write equations in y = mx + b form,catalog,Slope-Intercept Form,https://www.teacherspayteachers.com/Product/Slope-Intercept-Form-y-mx-b-4-in-1-Skill-Sheet-for-8th-Grade-Math-16514715,1.0
74,8th Grade,8.EE.B.5+B.6,EE,Graphing Linear Equations,graph linear equations and compare two relationships shown in different ways,catalog,Slope-Intercept Form,https://www.teacherspayteachers.com/Product/Slope-Intercept-Form-y-mx-b-4-in-1-Skill-Sheet-for-8th-Grade-Math-16514715,0.39
75,8th Grade,8.EE.C.7b,EE,Multi-Step Equations,solve multi-step equations with variables on both sides,catalog,Multi-Step Equations,https://www.teacherspayteachers.com/Product/Multi-Step-Equations-8th-Grade-Math-Worksheet-Combine-Like-Terms-16514621,1.0
76,8th Grade,8.EE.C.7a,EE,One None or Infinite Solutions,"decide whether an equation has one, no, or infinitely many solutions",catalog,"One, None, or Infinite Solutions",https://www.teacherspayteachers.com/Product/One-None-or-Infinite-Solutions-8th-Grade-Linear-Equations-16514637,1.0
77,8th Grade,8.EE.C.8a,EE,Systems of Equations: Graphing,solve a system of equations by graphing and interpret the intersection point,catalog,Systems by Graphing,https://www.teacherspayteachers.com/Product/Systems-of-Equations-by-Graphing-4-in-1-Skill-Sheet-for-8th-Grade-Math-16514757,0.7
78,8th Grade,8.EE.C.8b,EE,Systems of Equations: Substitution,solve a system of linear equations using substitution,catalog,Systems by Substitution,https://www.teacherspayteachers.com/Product/Systems-by-Substitution-4-in-1-Skill-Sheet-for-8th-Grade-Math-8EEC8b-16514897,0.75
79,8th Grade,8.EE.C.8b,EE,Systems of Equations: Elimination,solve a system of linear equations using elimination,catalog,Systems by Elimination,https://www.teacherspayteachers.com/Product/Systems-by-Elimination-4-in-1-Skill-Sheet-for-8th-Grade-Math-8EEC8b-16514906,0.73
80,8th Grade,8.EE.C.8c,EE,Systems of Equations: Word Problems,write and solve a system of equations from a real-world problem,catalog,Systems Word Problems,https://www.teacherspayteachers.com/Product/Systems-of-Equations-Word-Problems-4-in-1-Skill-Sheet-8th-Grade-16515262,0.78
81,8th Grade,8.F.A.1,F,Introduction to Functions,understand that a function assigns exactly one output to each input,catalog,Functions Definition,https://www.teacherspayteachers.com/Product/Functions-Definition-Worksheet-8th-Grade-Math-Input-Output-Tables-16514609,0.43
82,8th Grade,8.F.A.2+A.3,F,Comparing Functions,"compare two functions represented in different ways, such as tables and graphs",catalog,Comparing Functions Across Representations,https://www.teacherspayteachers.com/Product/Comparing-Functions-4-in-1-Skill-Sheet-for-8th-Grade-Math-8FA2-16514927,0.63
83,8th Grade,8.F.A.3+B.5,F,Linear vs Nonlinear Functions,identify whether a function is linear or nonlinear from its equation or graph,catalog,Graphing Linear Equations,https://www.teacherspayteachers.com/Product/Graphing-Linear-Equations-All-4-Forms-4-in-1-Skill-Sheet-8th-Grade-Math-16514728,0.53
84,8th Grade,8.F.B.4,F,Constructing Functions,construct a linear function and interpret its rate of change and initial value,catalog,Constructing Linear Functions from Points/Tables,https://www.teacherspayteachers.com/Product/Constructing-Linear-Functions-4-in-1-Skill-Sheet-for-8th-Grade-Math-8FB4-16514935,0.66
85,8th Grade,8.F.B.5,F,Qualitative Graphs,sketch and describe a graph that models the relationship between two quantities,catalog,Qualitative Graph Features,https://www.teacherspayteachers.com/Product/Qualitative-Graph-Features-and-Functions-4-in-1-Skill-Sheet-8th-Grade-Math-16515064,0.83
86,8th Grade,8.G.A.1+A.3,G,Transformations: Translations,perform translations on the coordinate plane and describe their effects,catalog,Translations,https://www.teacherspayteachers.com/Product/Translations-on-the-Coordinate-Plane-4-in-1-Skill-Sheet-for-8th-Grade-Math-16515012,0.62
87,8th Grade,8.G.A.1+A.3,G,Transformations: Reflections,perform reflections on the coordinate plane and describe their effects,catalog,Translations,https://www.teacherspayteachers.com/Product/Translations-on-the-Coordinate-Plane-4-in-1-Skill-Sheet-for-8th-Grade-Math-16515012,0.58
88,8th Grade,8.G.A.1+A.3,G,Transformations: Rotations,perform rotations on the coordinate plane and describe their effects,catalog,Translations,https://www.teacherspayteachers.com/Product/Translations-on-the-Coordinate-Plane-4-in-1-Skill-Sheet-for-8th-Grade-Math-16515012,0.61
89,8th Grade,8.G.A.4,G,Transformations: Dilations,"perform dilations and describe how they change a figure's size, not its shape",catalog,Dilations,https://www.teacherspayteachers.com/Product/Dilations-Coordinate-Plane-4-in-1-Skill-Sheet-8th-Grade-Math-16515185,0.55
90,8th Grade,8.G.A.2+A.4,G,Congruence & Similarity,use transformations to decide whether two figures are congruent or similar,catalog,Congruence through Transformations,https://www.teacherspayteachers.com/Product/Congruence-Transformations-Rigid-Motions-4-in-1-Skill-Sheet-8th-Grade-16515190,0.46
91,8th Grade,8.G.B.7,G,Pythagorean Theorem,use the Pythagorean Theorem to find unknown side lengths in right triangles,catalog,Pythagorean Theorem,https://www.teacherspayteachers.com/Product/Pythagorean-Theorem-Right-Triangles-4-in-1-Skill-Sheet-8th-Grade-Math-16515201,1.0
92,8th Grade,8.G.B.6,G,Converse of Pythagorean Theorem,use the converse of the Pythagorean Theorem to decide if a triangle is right,catalog,Converse of Pythagorean Theorem,https://www.teacherspayteachers.com/Product/Converse-of-the-Pythagorean-Theorem-4-in-1-Skill-Sheet-for-8th-Grade-Math-16515054,1.0
93,8th Grade,8.G.B.8,G,Distance & Coordinate Plane,use the Pythagorean Theorem to find the distance between two points,catalog,Distance on Coordinate Plane (Pythagorean),https://www.teacherspayteachers.com/Product/Distance-on-Coordinate-Plane-4-in-1-Skill-Sheet-8th-Grade-Math-16515265,0.78
94,8th Grade,8.G.C.9,G,Volume of Cones Cylinders Spheres,"use formulas to find the volume of cones, cylinders, and spheres",catalog,"Volume of Cones, Cylinders, Spheres",https://www.teacherspayteachers.com/Product/Volume-Cones-Cylinders-Spheres-4-in-1-Skill-Sheet-8th-Grade-16515226,1.0
95,8th Grade,8.G.A.5,G,Angle Relationships & Parallel Lines,find angle measures created when parallel lines are cut by a transversal,catalog,Angle Relationships (Parallel Lines),https://www.teacherspayteachers.com/Product/Parallel-Lines-Transversal-Angle-Pairs-4-in-1-Skill-Sheet-8th-Grade-16515197,1.0
96,8th Grade,8.SP.A.1+A.2,SP,Scatter Plots,construct and interpret scatter plots and describe patterns of association,catalog,Scatter Plots,https://www.teacherspayteachers.com/Product/Scatter-Plots-Worksheet-4-in-1-Skill-Sheet-8th-Grade-Math-16515236,1.0
97,8th Grade,8.G.B.7+B.8,G,Pythagorean Theorem & Distance on Coord Plane,apply the Pythagorean Theorem to solve problems on the coordinate plane,catalog,Pythagorean Theorem,https://www.teacherspayteachers.com/Product/Pythagorean-Theorem-Right-Triangles-4-in-1-Skill-Sheet-8th-Grade-Math-16515201,0.64
98,8th Grade,8.G.C.9,G,Volume of Cones Cylinders Spheres (Advanced),"solve multi-step volume problems with cones, cylinders, and spheres",catalog,"Volume of Cones, Cylinders, Spheres",https://www.teacherspayteachers.com/Product/Volume-Cones-Cylinders-Spheres-4-in-1-Skill-Sheet-8th-Grade-16515226,0.88
99,8th Grade,8.SP.A.2+A.3,SP,Bivariate Data & Line of Best Fit,fit a line to data and use its slope and intercept to make predictions,catalog,Lines of Best Fit,https://www.teacherspayteachers.com/Product/Lines-of-Best-Fit-Worksheet-4-in-1-Skill-Sheet-8th-Grade-Math-16515251,0.65
