slug,term,grade,primary_ccss,all_ccss,strand,all_strands,merged,definition,example_1,example_2,key_rule,memory_hook,related_terms,content_status,source_cards
unit-price-grade-6,Unit Price,6th,6.RP.A.2,6.RP.A.2,Ratios & Proportional Relationships,Ratios & Proportional Relationships,,"The cost of one unit of an item, found by dividing the total price by the quantity.",$6 for 3 lbs = $2 per pound (the unit price).,Divide total cost by the number of units to compare deals.,Divide total cost by quantity to find the unit price.,Cost for just one — use it to compare deals.,equivalent-ratios-grade-6; part-to-part-ratio-grade-6; part-to-whole-ratio-grade-6; per-grade-6,DONE (OCR from card),6_rp_unit price
unit-rate-grade-6,Unit Rate,6th,6.RP.A.2,6.RP.A.2,Ratios & Proportional Relationships,Ratios & Proportional Relationships,,"A rate that tells how much for exactly one unit, found by making the denominator 1.",120 miles ÷ 2 hours = 60 miles per 1 hour.,Make the second quantity 1 by dividing.,A unit rate is a rate for exactly one unit.,Always land on a denominator of 1.,equivalent-ratios-grade-6; part-to-part-ratio-grade-6; part-to-whole-ratio-grade-6; per-grade-6,DONE (OCR from card),6_rp_unit rate
greatest-common-factor-grade-6,Greatest Common Factor,6th,6.NS.B.4,6.NS.B.4,The Number System,The Number System,,The largest factor that two or more numbers have in common.,"Factors of 12: 1,2,3,4,6,12. Factors of 18: 1,2,3,6,9,18. GCF = 6.","The common factors of 12 and 18 are 1, 2, 3, 6 — the greatest is 6.","Find all common factors, then pick the greatest.",The biggest factor they both share.,least-common-denominator-grade-6; least-common-multiple-grade-6; absolute-value-grade-6; common-factor-grade-6,DONE (OCR from card),6_ns_GCF
least-common-denominator-grade-6,Least Common Denominator,6th,6.NS.B.4,6.NS.B.4,The Number System,The Number System,,"The smallest common multiple of two or more denominators, used to add or subtract fractions.","For denominators 4 and 6, the LCD is 12.",Use the LCD to rewrite fractions before adding or subtracting.,The least common denominator is the LCM of the denominators.,"Smallest shared denominator, ready to add or subtract.",greatest-common-factor-grade-6; least-common-multiple-grade-6; absolute-value-grade-6; common-factor-grade-6,DONE (OCR from card),6_ns_LCD
least-common-multiple-grade-6,Least Common Multiple,6th,6.NS.B.4,6.NS.B.4,The Number System,The Number System,,The smallest multiple that two or more numbers have in common.,"Multiples of 4: 4,8,12,16,20. Multiples of 6: 6,12,18,24. Common multiples: 12, 24 — least is 12.",LCM is used to find a common denominator.,The LCM is the smallest number that both original numbers divide into evenly.,Smallest number they both multiply into.,greatest-common-factor-grade-6; least-common-denominator-grade-6; absolute-value-grade-6; common-factor-grade-6,DONE (OCR from card),6_ns_LCM
absolute-value-grade-6,Absolute Value,6th,6.NS.C.7,6.NS.C.7,The Number System,The Number System,,"The distance of a number from zero on the number line, always positive or zero.",|-5| = 5 and |5| = 5 — both are 5 units from zero.,"Distance is always positive or zero, never negative.","Absolute value measures distance, so it's never negative.","How far from zero, no matter which direction.",greatest-common-factor-grade-6; least-common-denominator-grade-6; least-common-multiple-grade-6; common-factor-grade-6,DONE (OCR from card),6_ns_absolute value
common-factor-grade-6,Common Factor,6th,6.NS.B.4,6.NS.B.4,The Number System,The Number System,,A number that is a factor of two or more numbers.,"12 and 18 share the common factors 1, 2, 3, and 6.",Common factors are used to simplify fractions.,A common factor divides evenly into every number in the group.,A factor shared by more than one number.,greatest-common-factor-grade-6; least-common-denominator-grade-6; least-common-multiple-grade-6; absolute-value-grade-6,DONE (OCR from card),6_ns_common factor
common-multiple-grade-6,Common Multiple,6th,6.NS.B.4,6.NS.B.4,The Number System,The Number System,,A number that is a multiple of two or more numbers at the same time.,12 and 24 are common multiples of 4 and 6.,Common multiples are used to find a common denominator.,A common multiple is shared by every number in the group.,A multiple that shows up on every number's list.,greatest-common-factor-grade-6; least-common-denominator-grade-6; least-common-multiple-grade-6; absolute-value-grade-6,DONE (OCR from card),6_ns_common multiple
coordinate-plane-grade-6,Coordinate Plane,6th,6.G.A.3,6.G.A.3,The Number System,Geometry; The Number System,YES,"A grid formed by a horizontal x-axis and vertical y-axis, used to locate points with ordered pairs.","The origin (0,0) is where the x-axis and y-axis cross.",Every point on the plane has an x-coordinate and a y-coordinate.,The x-axis and y-axis together form the grid that locates every point.,A grid for pinpointing exact locations.,greatest-common-factor-grade-6; least-common-denominator-grade-6; least-common-multiple-grade-6; absolute-value-grade-6,DONE (OCR from card),6_ns_coordinate plane; 6_g_coordinate plane
coordinate-grade-6,Coordinate,6th,6.NS.C.6b,6.NS.C.6b,The Number System,The Number System,,A number that gives the position of a point along an axis of the coordinate plane.,"In (3, 2), 3 and 2 are the coordinates of the point.","Together, two coordinates form an ordered pair.",Each coordinate is one number in the pair that locates a point.,"One number, one axis, part of the address.",greatest-common-factor-grade-6; least-common-denominator-grade-6; least-common-multiple-grade-6; absolute-value-grade-6,DONE (OCR from card),6_ns_coordinate
dividend-grade-6,Dividend,6th,6.NS.A.1,6.NS.A.1,The Number System,The Number System,,The number that is being divided in a division problem.,"In 12 ÷ 3 = 4, the dividend is 12.",The dividend is the total amount you start with before dividing.,"The dividend is the amount being divided, not the divisor.","What you start with, before splitting it up.",greatest-common-factor-grade-6; least-common-denominator-grade-6; least-common-multiple-grade-6; absolute-value-grade-6,DONE (OCR from card),6_ns_dividend
divisor-grade-6,Divisor,6th,6.NS.A.1,6.NS.A.1,The Number System,The Number System,,The number you divide by in a division problem.,"In 12 ÷ 3 = 4, the divisor is 3.","The divisor tells how many groups, or the size of each group.",The divisor is the number you divide by.,What you're splitting the total into.,greatest-common-factor-grade-6; least-common-denominator-grade-6; least-common-multiple-grade-6; absolute-value-grade-6,DONE (OCR from card),6_ns_divisor
factor-grade-6,Factor,6th,6.EE.A.3,6.EE.A.3,The Number System,Expressions & Equations; The Number System,YES,"A whole number that divides evenly into another number, leaving no remainder.","In 3 × 4 = 12, both 3 and 4 are factors of 12.","Factor pairs of 12 include 1×12, 2×6, and 3×4.","A factor divides another number evenly, with no remainder.",Multiplies with a partner to make the product.,greatest-common-factor-grade-6; least-common-denominator-grade-6; least-common-multiple-grade-6; absolute-value-grade-6,DONE (OCR from card),6_ns_factor; 6_ee_factor
inequality-grade-6,Inequality,6th,6.EE.B.8,6.EE.B.8,The Number System,Expressions & Equations; The Number System,YES,"A comparison of two values showing one is greater than or less than the other, using < or >.",-3 < 2 and 5 > -1 are both inequalities.,"On a number line, smaller numbers are to the left.",An open circle at the boundary points toward the larger number.,Not equal — one side is bigger.,greatest-common-factor-grade-6; least-common-denominator-grade-6; least-common-multiple-grade-6; absolute-value-grade-6,DONE (OCR from card),6_ns_inequality; 6_ee_inequality
integer-grade-6,Integer,6th,6.NS.C.5,6.NS.C.5,The Number System,The Number System,,"A whole number, its opposite, or zero; the set ..., -2, -1, 0, 1, 2, ...","-2, 0, and 5 are integers.",1/2 and 0.5 are NOT integers — no fractions or decimals allowed.,"Integers include whole numbers and their opposites, but never fractions or decimals.","Whole numbers, both directions from zero.",greatest-common-factor-grade-6; least-common-denominator-grade-6; least-common-multiple-grade-6; absolute-value-grade-6,DONE (OCR from card),6_ns_integer
multiple-grade-6,Multiple,6th,6.NS.B.4,6.NS.B.4,The Number System,The Number System,,"The product of a number and a whole number, such as 4, 8, 12 for the number 4.","The multiples of 4 are 4, 8, 12, 16, 20...",Skip-count to list a number's multiples.,"Multiply a number by 1, 2, 3... to generate its multiples.",Skip-count to find them.,greatest-common-factor-grade-6; least-common-denominator-grade-6; least-common-multiple-grade-6; absolute-value-grade-6,DONE (OCR from card),6_ns_multiple
negative-number-grade-6,Negative Number,6th,6.NS.C.5,6.NS.C.5,The Number System,The Number System,,"A number less than zero, located to the left of zero on a number line.",-3 is a negative number — less than zero.,"-10° is below zero, so it's negative.",Negative numbers sit to the left of zero on a number line.,"Below zero, to the left.",greatest-common-factor-grade-6; least-common-denominator-grade-6; least-common-multiple-grade-6; absolute-value-grade-6,DONE (OCR from card),6_ns_negative number
opposite-grade-6,Opposite,6th,6.NS.C.5,6.NS.C.5,The Number System,The Number System,,"A number the same distance from zero as a given number, but on the other side of zero.",The opposite of -4 is +4 — same distance from 0.,Opposites are the same distance from zero but on opposite sides.,The opposite of a number changes its sign.,"Same distance, other side of zero.",greatest-common-factor-grade-6; least-common-denominator-grade-6; least-common-multiple-grade-6; absolute-value-grade-6,DONE (OCR from card),6_ns_opposite
ordered-pair-grade-6,Ordered Pair,6th,6.NS.C.6b,6.NS.C.6b,The Number System,The Number System,,"Two numbers (x, y) that give the location of a point on the coordinate plane; order matters.","(3, 2) means move right 3, then up 2.","The x-value always comes first, the y-value second.","Order matters — x comes first, y comes second.","Right/left, then up/down — in that order.",greatest-common-factor-grade-6; least-common-denominator-grade-6; least-common-multiple-grade-6; absolute-value-grade-6,DONE (OCR from card),6_ns_ordered pair
ordering-grade-6,Ordering,6th,6.NS.C.7,6.NS.C.7,The Number System,The Number System,,Arranging numbers from least to greatest (or greatest to least) using their positions on a number line.,"-2, 1, 3 arranged from least to greatest.",Values increase from left to right on a number line.,Use the number line's left-to-right order to rank numbers.,"Line them up, smallest to largest.",greatest-common-factor-grade-6; least-common-denominator-grade-6; least-common-multiple-grade-6; absolute-value-grade-6,DONE (OCR from card),6_ns_ordering
origin-grade-6,Origin,6th,6.NS.C.6c,6.NS.C.6c,The Number System,The Number System,,"The point (0, 0) on the coordinate plane where the x-axis and y-axis intersect.","The origin's coordinates are always (0, 0).",The origin is where the axes cross.,"Every coordinate plane has exactly one origin, at (0,0).",Where the two axes meet.,greatest-common-factor-grade-6; least-common-denominator-grade-6; least-common-multiple-grade-6; absolute-value-grade-6,DONE (OCR from card),6_ns_origin
positive-number-grade-6,Positive Number,6th,6.NS.C.5,6.NS.C.5,The Number System,The Number System,,"A number greater than zero, located to the right of zero on a number line.",+3 is a positive number — greater than zero.,10° above zero is a positive temperature.,Positive numbers sit to the right of zero on a number line.,"Above zero, to the right.",greatest-common-factor-grade-6; least-common-denominator-grade-6; least-common-multiple-grade-6; absolute-value-grade-6,DONE (OCR from card),6_ns_positive number
prime-factor-grade-6,Prime Factor,6th,6.NS.B.4,6.NS.B.4,The Number System,The Number System,,A factor of a number that is itself a prime number (only divisible by 1 and itself).,"12 = 2 × 2 × 3, so its prime factors are 2 and 3.",A factor tree breaks a number down into its prime factors.,A prime factor can't be broken down any further.,Break it down until every piece is prime.,greatest-common-factor-grade-6; least-common-denominator-grade-6; least-common-multiple-grade-6; absolute-value-grade-6,DONE (OCR from card),6_ns_prime factor
product-grade-6,Product,6th,6.NS.B.2,6.NS.B.2,The Number System,The Number System,,The result of multiplying two or more numbers together.,0.4 × 0.3 = 0.12 — the product is 0.12.,"With decimals, count the decimal places in both factors.",The product is what you get after multiplying.,The answer to a multiplication problem.,greatest-common-factor-grade-6; least-common-denominator-grade-6; least-common-multiple-grade-6; absolute-value-grade-6,DONE (OCR from card),6_ns_product
quadrant-grade-6,Quadrant,6th,6.NS.C.6b,6.NS.C.6b,The Number System,The Number System,,One of the four regions of the coordinate plane created by the x-axis and y-axis.,"Quadrant I is top-right, where both x and y are positive.",Quadrants are numbered I-IV counterclockwise from the top right.,The two axes divide the plane into four quadrants.,"Four regions, numbered I through IV.",greatest-common-factor-grade-6; least-common-denominator-grade-6; least-common-multiple-grade-6; absolute-value-grade-6,DONE (OCR from card),6_ns_quadrant
quotient-grade-6,Quotient,6th,6.EE.A.2b,6.EE.A.2b,The Number System,Expressions & Equations; The Number System,YES,The result of dividing one number by another.,"In 12 ÷ 3 = 4, the quotient is 4.",The quotient is the answer after dividing.,"The quotient is the result, not the dividend or divisor.",The answer to a division problem.,greatest-common-factor-grade-6; least-common-denominator-grade-6; least-common-multiple-grade-6; absolute-value-grade-6,DONE (OCR from card),6_ns_quotient; 6_ee_quotient
rational-number-grade-6,Rational Number,6th,6.NS.C.6c,6.NS.C.6c,The Number System,The Number System,,"Any number that can be written as a fraction a/b of two integers, with b not zero.","-1.5, 0, and 7 are all rational numbers.",A rational number has a place on the number line.,"If it can be written as a fraction of two integers, it's rational.",Ratio of two integers = rational.,greatest-common-factor-grade-6; least-common-denominator-grade-6; least-common-multiple-grade-6; absolute-value-grade-6,DONE (OCR from card),6_ns_rational number
reciprocal-grade-6,Reciprocal,6th,6.NS.A.1,6.NS.A.1,The Number System,The Number System,,The fraction you get by flipping the numerator and denominator; a number times its reciprocal equals 1.,"The reciprocal of 3/4 is 4/3, because 3/4 × 4/3 = 1.",Flip the fraction to find its reciprocal.,A number times its reciprocal always equals 1.,Flip the fraction upside down.,greatest-common-factor-grade-6; least-common-denominator-grade-6; least-common-multiple-grade-6; absolute-value-grade-6,DONE (OCR from card),6_ns_reciprocal
reflection-grade-6,Reflection,6th,6.NS.C.6b,6.NS.C.6b,The Number System,The Number System,,"A mirror image of a point across an axis, which changes the sign of one coordinate.","(3, 2) reflected over the y-axis becomes (-3, 2).",Reflecting across an axis flips the sign of one coordinate.,Reflecting a point is like a mirror image across an axis.,"Flip the sign, mirror the point.",greatest-common-factor-grade-6; least-common-denominator-grade-6; least-common-multiple-grade-6; absolute-value-grade-6,DONE (OCR from card),6_ns_reflection
x-coordinate-grade-6,X-coordinate,6th,6.NS.C.6c,6.NS.C.6c,The Number System,The Number System,,"The first number in an ordered pair, showing horizontal distance from the origin.","In (3, 2), the x-coordinate is 3 — move right 3.",The x-coordinate tells how far to move left or right.,The x-coordinate is always listed first in an ordered pair.,"First number, left-right movement.",greatest-common-factor-grade-6; least-common-denominator-grade-6; least-common-multiple-grade-6; absolute-value-grade-6,DONE (OCR from card),6_ns_x coordinate
y-coordinate-grade-6,Y-coordinate,6th,6.NS.C.6c,6.NS.C.6c,The Number System,The Number System,,"The second number in an ordered pair, showing vertical distance from the origin.","In (3, 2), the y-coordinate is 2 — move up 2.",The y-coordinate tells how far to move up or down.,The y-coordinate is always listed second in an ordered pair.,"Second number, up-down movement.",greatest-common-factor-grade-6; least-common-denominator-grade-6; least-common-multiple-grade-6; absolute-value-grade-6,DONE (OCR from card),6_ns_y coordinate
algebraic-expression-grade-6,Algebraic Expression,6th,6.EE.A.2a,6.EE.A.2a,Expressions & Equations,Expressions & Equations,,An expression that includes at least one variable along with numbers and operations.,2n + 5 is an algebraic expression — it has a variable.,"It combines a coefficient, variable, and constant.",An algebraic expression must contain at least one variable.,"Numbers, a letter, and operations, mixed together.",base-exponents-grade-6; coefficient-grade-6; constant-grade-6; dependent-variable-grade-6,DONE (OCR from card),6_ee_algebraic expression
base-exponents-grade-6,Base (Exponents),6th,6.EE.A.1,6.EE.A.1,Expressions & Equations,Expressions & Equations,,"In a power, the number that is used as the repeated factor.","In 5², the base is 5 — the number being multiplied.","5² = 5 × 5, using 5 as the base twice.",The base is repeated according to the exponent.,The number that gets multiplied by itself.,algebraic-expression-grade-6; coefficient-grade-6; constant-grade-6; dependent-variable-grade-6,DONE (OCR from card),6_ee_base
coefficient-grade-6,Coefficient,6th,6.EE.A.2a,6.EE.A.2a,Expressions & Equations,Expressions & Equations,,"The number that multiplies a variable in a term, such as the 3 in 3x.","In 3x, the coefficient is 3.",3x means 3 times x.,The coefficient is the number attached to the variable.,The number riding along with the variable.,algebraic-expression-grade-6; base-exponents-grade-6; constant-grade-6; dependent-variable-grade-6,DONE (OCR from card),6_ee_coefficient
constant-grade-6,Constant,6th,6.EE.A.2a,6.EE.A.2a,Expressions & Equations,Expressions & Equations,,A fixed number in an expression that does not change and has no variable.,"In 3x + 7, the constant is 7.",A constant is a number on its own.,"A constant's value never changes, no matter what the variable does.",No variable attached — just a fixed number.,algebraic-expression-grade-6; base-exponents-grade-6; coefficient-grade-6; dependent-variable-grade-6,DONE (OCR from card),6_ee_constant
dependent-variable-grade-6,Dependent Variable,6th,6.EE.C.9,6.EE.C.9,Expressions & Equations,Expressions & Equations,,"The output variable whose value depends on the independent variable, often labeled y.","In y = 8x, y depends on x.","If x = 2, y = 16 — the output changes with the input.",The dependent variable is the output.,Its value depends on what x is.,algebraic-expression-grade-6; base-exponents-grade-6; coefficient-grade-6; constant-grade-6,DONE (OCR from card),6_ee_dependent variable
distributive-property-grade-6,Distributive Property,6th,6.EE.A.3,6.EE.A.3,Expressions & Equations,Expressions & Equations,,"A rule that multiplies a factor by each term inside parentheses, as in a(b + c) = ab + ac.",3(x + 2) = 3·x + 3·2 = 3x + 6.,Multiply the outside number by each term inside.,The distributive property hands the outside factor to every term inside.,"One number, distributed to everyone inside the parentheses.",algebraic-expression-grade-6; base-exponents-grade-6; coefficient-grade-6; constant-grade-6,DONE (OCR from card),6_ee_distributive prop
equation-grade-6,Equation,6th,6.EE.B.7,6.EE.B.7,Expressions & Equations,Expressions & Equations,,"A number sentence stating that two expressions are equal, shown with an equals sign.",x + 5 = 12 is an equation — it has an equals sign.,Both sides of an equation are equal.,An equation always has an equals sign; an expression does not.,"Two sides, balanced by an equals sign.",algebraic-expression-grade-6; base-exponents-grade-6; coefficient-grade-6; constant-grade-6,DONE (OCR from card),6_ee_equation
equivalent-expressions-grade-6,Equivalent Expressions,6th,6.EE.A.4,6.EE.A.4,Expressions & Equations,Expressions & Equations,,Expressions that always have the same value no matter what number the variable is.,2(x + 3) = 2x + 6 — same value for every x.,At x = 4: 2(4+3) = 14 and 2(4)+6 = 14 — they match.,Equivalent expressions give the same result for every value of the variable.,"Different form, same value, always.",algebraic-expression-grade-6; base-exponents-grade-6; coefficient-grade-6; constant-grade-6,DONE (OCR from card),6_ee_equivalent expressions
evaluate-grade-6,Evaluate,6th,6.EE.A.1,6.EE.A.1,Expressions & Equations,Expressions & Equations,,To find the value of an expression by carrying out its operations in the correct order.,Evaluate 4 + 2 × 3 = 4 + 6 = 10.,"Substitute the value, then follow order of operations.",Evaluating means doing the operations in the correct order.,"Work it out, step by step, in order.",algebraic-expression-grade-6; base-exponents-grade-6; coefficient-grade-6; constant-grade-6,DONE (OCR from card),6_ee_evaluate
expand-grade-6,Expand,6th,6.EE.A.3,6.EE.A.3,Expressions & Equations,Expressions & Equations,,To multiply a factor through parentheses to write an expression without them.,4(x + 3) expands to 4x + 12.,Expanding removes the parentheses using the distributive property.,Expanding is another word for distributing.,"Multiply through, then drop the parentheses.",algebraic-expression-grade-6; base-exponents-grade-6; coefficient-grade-6; constant-grade-6,DONE (OCR from card),6_ee_expand
exponent-grade-6,Exponent,6th,6.EE.A.1,6.EE.A.1,Expressions & Equations,Expressions & Equations,,The small raised number that tells how many times to use the base as a factor.,"5² = 5 × 5 = 25, where the exponent is 2.",The exponent tells how many times to multiply the base by itself.,The exponent counts how many times the base multiplies itself.,"The little number on top, counting repeats.",algebraic-expression-grade-6; base-exponents-grade-6; coefficient-grade-6; constant-grade-6,DONE (OCR from card),6_ee_exponent
expression-grade-6,Expression,6th,6.EE.A.1,6.EE.A.1,Expressions & Equations,Expressions & Equations,,"A combination of numbers, variables, and operations, with no equals sign.",x + 3 is an expression.,"Expressions have no equals sign, unlike equations.",An expression has no equals sign — an equation does.,"Numbers and operations, but no equals sign.",algebraic-expression-grade-6; base-exponents-grade-6; coefficient-grade-6; constant-grade-6,DONE (OCR from card),6_ee_expression
independent-variable-grade-6,Independent Variable,6th,6.EE.C.9,6.EE.C.9,Expressions & Equations,Expressions & Equations,,"The input variable whose value is chosen freely, often labeled x.","In y = 8x, x is the independent variable — the input you choose.",Its value does not depend on the other variable.,The independent variable is the input you choose.,The one you pick — the input.,algebraic-expression-grade-6; base-exponents-grade-6; coefficient-grade-6; constant-grade-6,DONE (OCR from card),6_ee_independent variable
inverse-operation-grade-6,Inverse Operation,6th,6.EE.B.7,6.EE.B.7,Expressions & Equations,Expressions & Equations,,"An operation that undoes another, such as addition and subtraction, used to solve equations.",Undo +5 by subtracting 5 from both sides: x + 5 = 12 → x = 7.,Addition and subtraction are inverses; multiplication and division are inverses.,Use inverse operations to get the variable alone and solve.,"Whatever was done, undo it to isolate the variable.",algebraic-expression-grade-6; base-exponents-grade-6; coefficient-grade-6; constant-grade-6,DONE (OCR from card),6_ee_inverse operation
like-terms-grade-6,Like Terms,6th,6.EE.A.3,6.EE.A.3,Expressions & Equations,Expressions & Equations,,Terms with the same variable part that can be combined by adding their coefficients.,"3x + 5x = 8x, since 3x and 5x are like terms.",Like terms have the same variable raised to the same power.,Combine like terms by adding their coefficients.,"Same variable, same power — combine them.",algebraic-expression-grade-6; base-exponents-grade-6; coefficient-grade-6; constant-grade-6,DONE (OCR from card),6_ee_like terms
number-line-grade-6,Number Line,6th,6.EE.B.8,6.EE.B.8,Expressions & Equations,Expressions & Equations,,"A line with numbers placed at equal intervals, used to show order, values, and inequalities.","A number line shows numbers in order, evenly spaced.",It can show inequalities using open or closed circles.,A number line places numbers in order at equal intervals.,"Numbers in order, evenly spaced out.",algebraic-expression-grade-6; base-exponents-grade-6; coefficient-grade-6; constant-grade-6,DONE (OCR from card),6_ee_number line
open-circle-grade-6,Open Circle,6th,6.EE.B.8,6.EE.B.8,Expressions & Equations,Expressions & Equations,,A hollow point on a number line showing the boundary value is not part of the solution.,An open circle at 3 means 3 is NOT included (x > 3).,Open (not included) vs. filled (included).,An open circle marks a boundary that is not included.,Hollow circle means the boundary doesn't count.,algebraic-expression-grade-6; base-exponents-grade-6; coefficient-grade-6; constant-grade-6,DONE (OCR from card),6_ee_open circle
order-of-operations-grade-6,Order of Operations,6th,6.EE.A.1,6.EE.A.1,Expressions & Equations,Expressions & Equations,,"The agreed order for evaluating an expression — parentheses, exponents, multiply/divide, add/subtract.",2 + 3 × 4 = 2 + 12 = 14 (multiply before adding).,"Follow the order: Parentheses, Exponents, Multiply/Divide, Add/Subtract.",Multiply and divide happen before adding and subtracting.,"PEMDAS, in that order, every time.",algebraic-expression-grade-6; base-exponents-grade-6; coefficient-grade-6; constant-grade-6,DONE (OCR from card),6_ee_order of operations
power-grade-6,Power,6th,6.EE.A.1,6.EE.A.1,Expressions & Equations,Expressions & Equations,,"An expression made of a base and an exponent, showing repeated multiplication.","5² is a power: base 5, exponent 2, equals 25.",A power shows a base multiplied by itself repeatedly.,A power combines a base and an exponent.,Base raised to an exponent.,algebraic-expression-grade-6; base-exponents-grade-6; coefficient-grade-6; constant-grade-6,DONE (OCR from card),6_ee_power
simplify-grade-6,Simplify,6th,6.EE.A.3,6.EE.A.3,Expressions & Equations,Expressions & Equations,,To rewrite an expression in its simplest form by combining like terms and reducing.,2x + 3x + 4 simplifies to 5x + 4.,Simplifying makes an expression shorter and equivalent.,Simplify by combining like terms.,Shrink it down to its simplest form.,algebraic-expression-grade-6; base-exponents-grade-6; coefficient-grade-6; constant-grade-6,DONE (OCR from card),6_ee_simplify
