slug,term,grade,primary_ccss,all_ccss,strand,all_strands,merged,definition,example_1,example_2,key_rule,memory_hook,related_terms,content_status,source_cards
common-denominator-grade-7,Common Denominator,7th,7.NS.A.1d,7.NS.A.1d,The Number System,The Number System,,A shared multiple of the denominators of two or more fractions. The Least Common Denominator (LCD) is the smallest such multiple.,"For 1/3 + 1/4, the LCD of 3 and 4 is 12.","1/3 = 4/12 and 1/4 = 3/12, so 4/12 + 3/12 = 7/12.",You must have the same denominator before adding or subtracting fractions.,Same bottom before you add.,absolute-value-grade-7; additive-inverse-grade-7; difference-grade-7; distance-grade-7,DONE (OCR from card),ns7_commondenominator
difference-grade-7,Difference,7th,7.NS.A.1c,7.NS.A.1c,The Number System,The Number System,,"The result of subtraction. To subtract an integer, add its additive inverse (opposite): a - b = a + (-b).",7 - (-3) = 7 + 3 = 10.,"(-5) - 2 = (-5) + (-2) = -7, and (-4) - (-6) = (-4) + 6 = 2.",Never subtract integers directly — rewrite as adding the opposite (KCC).,Subtract = add the opposite.,absolute-value-grade-7; additive-inverse-grade-7; common-denominator-grade-7; distance-grade-7,DONE (OCR from card),ns7_difference
distance-grade-7,Distance,7th,7.NS.A.1c,7.NS.A.1c,The Number System,The Number System,,The distance between two integers is the absolute value of their difference: |B - A| = |A - B|. Distance is always positive.,Distance from -3 to 5 = |5 - (-3)| = |8| = 8 units.,Distance from -7 to 2 = |2 - (-7)| = |9| = 9 units.,Distance is always positive — use absolute value to guarantee it.,Distance = |difference|; the sign doesn't matter.,absolute-value-grade-7; additive-inverse-grade-7; common-denominator-grade-7; difference-grade-7,DONE (OCR from card),ns7_distance
dividend-grade-7,Dividend,7th,7.NS.A.2b,7.NS.A.2b,The Number System,The Number System,,"The number being divided in a division problem. In a ÷ b = c, the dividend is a; in fraction form, the dividend is the numerator.","In -18 ÷ 3 = -6, the dividend is -18.","In 24 ÷ 6 = 4, the dividend is 24.",The dividend is the numerator in fraction form.,Dividend = the number getting divided.,absolute-value-grade-7; additive-inverse-grade-7; common-denominator-grade-7; difference-grade-7,DONE (OCR from card),ns7_dividend
divisor-grade-7,Divisor,7th,7.NS.A.2b,7.NS.A.2b,The Number System,The Number System,,"The number by which the dividend is divided. In a ÷ b = c, the divisor is b. The divisor can never be zero (undefined).","In -18 ÷ 3 = -6, the divisor is 3.",Dividing by 0 is undefined — you cannot divide by 0.,The divisor can never be zero.,Divisor = the number you divide by.,absolute-value-grade-7; additive-inverse-grade-7; common-denominator-grade-7; difference-grade-7,DONE (OCR from card),ns7_divisor
fact-family-grade-7,Fact Family,7th,7.NS.A.2b,7.NS.A.2b,The Number System,The Number System,,A set of related multiplication and division sentences using the same three numbers. The product sits at the apex; the two factors sit at the base.,"3, 4, 12 → 3×4=12, 4×3=12, 12÷3=4, 12÷4=3.","5, 6, 30 → 5×6=30, 6×5=30, 30÷5=6, 30÷6=5.","Four facts, same three numbers — product on top, factors on the bottom.","Same three numbers, four facts.",absolute-value-grade-7; additive-inverse-grade-7; common-denominator-grade-7; difference-grade-7,DONE (OCR from card),ns7_factfamily
factor-grade-7,Factor,7th,7.EE.A.1,7.EE.A.1,The Number System,Expressions & Equations; The Number System,YES,"A number that divides evenly into another number. In multiplication, the numbers being multiplied are the factors, and the result is the product.","In 6 × 4 = 24, the factors are 6 and 4.","Factor pairs of 24: 1×24, 2×12, 3×8, 4×6.",A factor divides into a number evenly with no remainder.,Factors multiply to the product.,absolute-value-grade-7; additive-inverse-grade-7; common-denominator-grade-7; difference-grade-7,DONE (OCR from card),ns7_factor; ee7_factor
integer-grade-7,Integer,7th,7.NS.A.1b,7.NS.A.1b,The Number System,The Number System,,"Any whole number, its opposite, or zero. Includes ...-3, -2, -1, 0, 1, 2, 3... Does not include fractions or decimals.","-3, 0, 5, -100, and 42 are all integers.","NOT integers: 1.5, 2/3, 0.7, and the square root of 3.",Integers are whole numbers and their opposites — no fractions or decimals.,"Whole numbers, both directions from zero.",absolute-value-grade-7; additive-inverse-grade-7; common-denominator-grade-7; difference-grade-7,DONE (OCR from card),ns7_integer
kcc-grade-7,KCC,7th,7.NS.A.1d,7.NS.A.1d,The Number System,The Number System,,"A method for subtracting integers: Keep the first number, Change subtraction to addition, Change the sign of the second number. Works for all integer subtraction.",(-3) - (-5) = (-3) + (+5) = +2.,"7 - 9 = 7 + (-9) = -2, and -4 - (-6) = -4 + 6 = 2.",KCC turns every subtraction into an addition.,Keep - Change - Change.,absolute-value-grade-7; additive-inverse-grade-7; common-denominator-grade-7; difference-grade-7,DONE (OCR from card),ns7_kcc
kcf-grade-7,KCF,7th,7.NS.A.2c,7.NS.A.2c,The Number System,The Number System,,"A method for dividing fractions: Keep the first fraction, Change division to multiplication, Flip the second fraction (its reciprocal). Then simplify.",3/4 ÷ 2/5 = 3/4 × 5/2 = 15/8.,2/5 becomes 5/2 (its reciprocal) while 3/4 stays the same.,"KCF only works for division; for multiplication, just multiply across.",Keep - Change - Flip.,absolute-value-grade-7; additive-inverse-grade-7; common-denominator-grade-7; difference-grade-7,DONE (OCR from card),ns7_kcf
negative-rational-grade-7,Negative Rational,7th,7.NS.A.3,7.NS.A.3,The Number System,The Number System,,"A rational number less than zero, located to the left of 0 on the number line. When comparing, the value closer to 0 is greater.",-3/4 = -0.75 = -75% are equivalent forms.,"Comparing -2/3 and -1: -2/3 is closer to 0, so -2/3 > -1.","When comparing negative rationals, the one closer to 0 is greater.","Closer to zero = bigger, for negatives.",absolute-value-grade-7; additive-inverse-grade-7; common-denominator-grade-7; difference-grade-7,DONE (OCR from card),ns7_negativerational
operation-grade-7,Operation,7th,7.NS.A.3,7.NS.A.3,The Number System,The Number System,,"One of the four mathematical processes: addition, subtraction, multiplication, and division. With integers, all four follow the sign rules.",(-4) + (-3) = -7 (same signs add); (-5) - (-2) = (-5) + 2 = -3.,(-4) × (-3) = +12; -12 ÷ 3 = -4.,All four operations obey the sign rules with integers.,"Add, subtract, multiply, divide — signs rule them all.",absolute-value-grade-7; additive-inverse-grade-7; common-denominator-grade-7; difference-grade-7,DONE (OCR from card),ns7_operation
opposite-grade-7,Opposite,7th,7.NS.A.1c,7.NS.A.1c,The Number System,The Number System,,"A number the same distance from 0 but on the other side of the number line. The opposite of n is -n, and the opposite of a negative is positive: -(-n) = n.",The opposite of 6 is -6.,"-(-5) = +5 (a double negative), and the opposite of 0 is 0.","To find the opposite, change the sign.","Same distance, other side of zero.",absolute-value-grade-7; additive-inverse-grade-7; common-denominator-grade-7; difference-grade-7,DONE (OCR from card),ns7_opposite
opposites-grade-7,Opposites,7th,7.NS.A.1a,7.NS.A.1a,The Number System,The Number System,,"Two numbers the same distance from zero on a number line but on opposite sides. The opposite of n is -n, and the sum of opposites is always 0.",The opposite of 5 is -5; the opposite of -8 is 8.,5 + (-5) = 0 — opposites sum to zero.,Opposites are also called additive inverses; their sum is zero.,Opposites cancel to zero.,absolute-value-grade-7; additive-inverse-grade-7; common-denominator-grade-7; difference-grade-7,DONE (OCR from card),ns7_opposites
product-grade-7,Product,7th,7.NS.A.2a,7.NS.A.2a,The Number System,The Number System,,The result of multiplication. Sign rules: same signs give a positive product; different signs give a negative product.,"4 × 3 = 12 and (-4) × (-3) = 12 (same signs, positive).","5 × (-3) = -15 (different signs, negative).","This sign rule applies to all multiplication — integers, fractions, decimals.","Same signs positive, different signs negative.",absolute-value-grade-7; additive-inverse-grade-7; common-denominator-grade-7; difference-grade-7,DONE (OCR from card),ns7_product
quotient-grade-7,Quotient,7th,7.NS.A.2b,7.NS.A.2b,The Number System,The Number System,,"The result of division. In -18 ÷ 3, the dividend is -18, the divisor is 3, and the quotient is -6. Apply the sign rules.","-18 ÷ 3 = -6 (different signs, negative).","-18 ÷ (-3) = 6 (same signs, positive).",Same signs give a positive quotient; different signs give a negative quotient.,Quotient = the answer to a division.,absolute-value-grade-7; additive-inverse-grade-7; common-denominator-grade-7; difference-grade-7,DONE (OCR from card),ns7_quotient
rational-number-grade-7,Rational Number,7th,7.EE.B.3,7.EE.B.3,The Number System,Expressions & Equations; The Number System,YES,"Any number that can be expressed as the ratio p/q where p and q are integers and q ≠ 0. Includes all fractions, integers, and terminating and repeating decimals.",0.25 = 1/4 and 0.333... = 1/3 are rational.,Pi (3.14159...) and the square root of 2 are NOT rational — they never terminate or repeat.,"If it can be written as p/q, it is rational.",Ratio of two integers = rational.,absolute-value-grade-7; additive-inverse-grade-7; common-denominator-grade-7; difference-grade-7,DONE (OCR from card),ns7_rationalnumber; ee7_rationalnumber
reasonableness-grade-7,Reasonableness,7th,7.NS.A.3,7.NS.A.3,The Number System,The Number System,,"The quality of an answer being sensible and close to the estimated value. Always estimate first, then check whether your exact answer is in the ballpark.","48 × 19 ≈ 50 × 20 = 1,000; the exact answer 912 is reasonable.","A student says 48 × 19 = 9,120 — way off, so not reasonable.",Estimate first to catch errors: is the answer the right size and the right sign?,"Estimate, then sanity-check.",absolute-value-grade-7; additive-inverse-grade-7; common-denominator-grade-7; difference-grade-7,DONE (OCR from card),ns7_reasonableness
repeated-addition-grade-7,Repeated Addition,7th,7.NS.A.2a,7.NS.A.2a,The Number System,The Number System,,Multiplication understood as adding the same number repeatedly.,3 × (-2) = (-2) + (-2) + (-2) = -6.,4 × 3 = 3 + 3 + 3 + 3 = 12.,Multiplying a positive by a negative makes repeated negative jumps.,Multiply = add it again and again.,absolute-value-grade-7; additive-inverse-grade-7; common-denominator-grade-7; difference-grade-7,DONE (OCR from card),ns7_repeatedaddition
repeating-decimal-grade-7,Repeating Decimal,7th,7.NS.A.2d,7.NS.A.2d,The Number System,The Number System,,"A decimal in which a digit or group of digits repeats infinitely, shown with a bar (vinculum) over the repeating part.",0.333... is written 0.3 with a bar — the 3 repeats.,0.142857142857... is written with a bar over 142857 — the 6-digit block repeats.,Write a repeating decimal with a bar instead of '...' to show the pattern.,The bar means it repeats forever.,absolute-value-grade-7; additive-inverse-grade-7; common-denominator-grade-7; difference-grade-7,DONE (OCR from card),ns7_repeatingdecimal
sign-rules-grade-7,Sign Rules,7th,7.NS.A.2a,7.NS.A.2a,The Number System,The Number System,,Same signs produce a positive result; different signs produce a negative result. Applies to both multiplication and division of integers.,"5 × 3 = 15 and (-5) × (-3) = 15 (same signs, positive).","5 × (-3) = -15 and (-5) × 3 = -15 (different signs, negative).","Same signs to positive, different signs to negative.","Same = positive, different = negative.",absolute-value-grade-7; additive-inverse-grade-7; common-denominator-grade-7; difference-grade-7,DONE (OCR from card),ns7_signrules
sum-grade-7,Sum,7th,7.NS.A.1b,7.NS.A.1b,The Number System,The Number System,,The result of addition. Same signs: add the absolute values and keep the sign. Different signs: subtract the absolute values and use the sign of the larger.,(-3) + (-5) = -8 (same signs).,(-7) + 4 = -3 (different signs).,"Find the absolute values first, then apply the sign rule.","Same signs add, different signs subtract.",absolute-value-grade-7; additive-inverse-grade-7; common-denominator-grade-7; difference-grade-7,DONE (OCR from card),ns7_sum
terminating-decimal-grade-7,Terminating Decimal,7th,7.NS.A.2d,7.NS.A.2d,The Number System,The Number System,,A decimal that ends — it has a finite number of digits after the decimal point. It results when a division has a remainder of zero.,1/4 = 0.25 (stops).,3/8 = 0.375 (stops).,A fraction terminates only when the denominator's prime factors are 2 and/or 5.,It stops — no repeating.,absolute-value-grade-7; additive-inverse-grade-7; common-denominator-grade-7; difference-grade-7,DONE (OCR from card),ns7_terminatingdecimal
zero-pair-grade-7,Zero Pair,7th,7.NS.A.1a,7.NS.A.1a,The Number System,The Number System,,"A set of two numbers (one positive, one negative) that sum to zero. Used in chip models to simplify integer addition.",(+5) + (-5) = 0 — five zero pairs cancel out.,"(+7) + (-4): remove 4 zero pairs, leaving +3.",Each zero pair cancels; count what is left.,One positive + one negative = zero.,absolute-value-grade-7; additive-inverse-grade-7; common-denominator-grade-7; difference-grade-7,DONE (OCR from card),ns7_zeropair
center-grade-7,Center,7th,7.SP.B.3,7.SP.B.3,Statistics & Probability,Statistics & Probability,,A representative value near the middle of a data set. Mean = sum ÷ count. Median = middle value when ordered. Use median when outliers are present.,"{2,4,5,6,6,7,8,9,23}: median = 6, mean ≈ 7.8 (pulled toward the outlier 23).","Without outliers, mean or median both work well.",Outliers affect the mean but not the median.,Mean balances the data; median splits it in half.,certain-event-grade-7; compound-event-grade-7; dependent-events-grade-7; distribution-grade-7,DONE (OCR from card),sp7_center
certain-event-grade-7,Certain Event,7th,7.SP.C.5,7.SP.C.5,Statistics & Probability,Statistics & Probability,,An event that is guaranteed to occur. Its probability is exactly 1 because every possible outcome is favorable.,P(rolling a number 1-6 on a standard die) = 6/6 = 1.,P(drawing a red or black card from a standard deck) = 1 — every card is one or the other.,A certain event includes all outcomes in the sample space.,P = 1 means it will definitely happen.,center-grade-7; compound-event-grade-7; dependent-events-grade-7; distribution-grade-7,DONE (OCR from card),sp7_certainevent
compound-event-grade-7,Compound Event,7th,7.SP.C.8,7.SP.C.8,Statistics & Probability,Statistics & Probability,,An event that combines two or more simple events. 'AND' events require all conditions to be met (intersection). 'OR' events require at least one condition (union).,P(even AND heads) when rolling a die and flipping a coin: 3/12 = 1/4.,P(roll a 1 OR a 6) = 2/6 = 1/3.,AND usually gives a smaller probability; OR usually gives a larger one.,AND needs both; OR needs at least one.,center-grade-7; certain-event-grade-7; dependent-events-grade-7; distribution-grade-7,DONE (OCR from card),sp7_compoundevent
dependent-events-grade-7,Dependent Events,7th,7.SP.C.8,7.SP.C.8,Statistics & Probability,Statistics & Probability,,Events where the outcome of the first event changes the probability of the second. Occurs when drawing without replacement. P(A and B) = P(A) × P(B given A happened first).,"Bag with 3 red, 2 blue marbles: P(red first) = 3/5, then P(red second) = 2/4 if red was drawn first.",P(red first AND red second) = 3/5 × 2/4 = 3/10.,Without replacement signals dependent events — removing one item changes the pool.,The first draw changes the odds for the second.,center-grade-7; certain-event-grade-7; compound-event-grade-7; distribution-grade-7,DONE (OCR from card),sp7_dependentevents
distribution-grade-7,Distribution,7th,7.SP.B.3,7.SP.B.3,Statistics & Probability,Statistics & Probability,,"Describes how data values are spread across a range. Described by shape (symmetric, skewed, or uniform), center (mean or median), and spread (range or MAD).",A roughly symmetric (bell-shaped) distribution with mean ≈ median ≈ 80.,"Right-skewed: tail goes right, most data on the left; left-skewed is the reverse.","Always describe a distribution by its shape, center, and spread.","Shape, center, and spread tell the whole story.",center-grade-7; certain-event-grade-7; compound-event-grade-7; dependent-events-grade-7,DONE (OCR from card),sp7_distribution
equally-likely-grade-7,Equally Likely,7th,7.SP.C.5,7.SP.C.5,Statistics & Probability,Statistics & Probability,,"Outcomes that each have the same probability of occurring. If there are n equally likely outcomes, P(each) = 1/n.",A fair coin: P(Heads) = P(Tails) = 1/2.,A fair die: P(1) = P(2) = ... = P(6) = 1/6.,A spinner with unequal sections is NOT equally likely — check the sections match.,Every outcome has the exact same shot.,center-grade-7; certain-event-grade-7; compound-event-grade-7; dependent-events-grade-7,DONE (OCR from card),sp7_equallylikely
estimate-grade-7,Estimate,7th,7.SP.A.2,7.SP.A.2,Statistics & Probability,Statistics & Probability,,"A prediction of a population value based on sample data. Calculated by applying the sample statistic to the population size. Larger, random samples produce more accurate estimates.",40 of 50 surveyed prefer pizza (80%); estimate for 600 students = 0.80 × 600 = 480.,Sample average height 64 in estimates the population average as about 64 in.,"A larger, representative sample gives a more accurate estimate.",Use the sample percentage to predict the whole group.,center-grade-7; certain-event-grade-7; compound-event-grade-7; dependent-events-grade-7,DONE (OCR from card),sp7_estimate
event-grade-7,Event,7th,7.SP.C.6,7.SP.C.6,Statistics & Probability,Statistics & Probability,,A specific outcome or set of outcomes from a probability experiment. Written using set notation. P(event) = favorable outcomes ÷ total outcomes in the sample space.,"Rolling an even number: A = {2,4,6}, P(A) = 3/6 = 50%.","A simple event has exactly one outcome, like {rolling a 3}.",An event is a subset of the sample space.,"One outcome, or a group of them, from the full set of possibilities.",center-grade-7; certain-event-grade-7; compound-event-grade-7; dependent-events-grade-7,DONE (OCR from card),sp7_event
experimental-probability-grade-7,Experimental Probability,7th,7.SP.C.6,7.SP.C.6,Statistics & Probability,Statistics & Probability,,The ratio of the number of times an event occurs to the total number of trials conducted. Based on actual observed results.,13 heads out of 20 flips: experimental P(Heads) = 13/20 = 0.65.,"Theoretical P(Heads) = 0.50 — the experiment gave 65%, not exactly 50% but close.",More trials bring experimental probability closer to theoretical.,"What actually happened, out of how many tries.",center-grade-7; certain-event-grade-7; compound-event-grade-7; dependent-events-grade-7,DONE (OCR from card),sp7_experimentalprobability
impossible-event-grade-7,Impossible Event,7th,7.SP.C.5,7.SP.C.5,Statistics & Probability,Statistics & Probability,,An event that cannot occur under any circumstances. Its probability is exactly 0 because there are 0 favorable outcomes.,P(rolling a 7 on a standard die) = 0/6 = 0.,P(drawing a purple card from a standard deck) = 0.,Zero favorable outcomes in the sample space means the event is impossible.,P = 0 means it can never happen.,center-grade-7; certain-event-grade-7; compound-event-grade-7; dependent-events-grade-7,DONE (OCR from card),sp7_impossibleevent
independent-events-grade-7,Independent Events,7th,7.SP.C.8,7.SP.C.8,Statistics & Probability,Statistics & Probability,,Two events where the outcome of one does not affect the probability of the other. P(A and B) = P(A) × P(B). Rolling dice and flipping coins are always independent.,Flip a coin twice: P(Heads AND Heads) = 1/2 × 1/2 = 1/4.,Roll a red die and a blue die: P(red=3 AND blue=5) = 1/6 × 1/6 = 1/36.,Test for independence: is P(A AND B) = P(A) × P(B)? With replacement means independent.,One event doesn't change the other's odds.,center-grade-7; certain-event-grade-7; compound-event-grade-7; dependent-events-grade-7,DONE (OCR from card),sp7_independentevents
inference-grade-7,Inference,7th,7.SP.A.1,7.SP.A.1,Statistics & Probability,Statistics & Probability,,"A conclusion about a population drawn from sample data. Valid inferences require a random, representative sample. The inference is an estimate subject to sampling variability.","50 students surveyed, 60% prefer math; estimate for all 500 students ≈ 300 prefer math.",A non-random sample can produce a biased inference.,"The larger and more representative the sample, the more reliable the inference.",Use the sample to make a best guess about everyone.,center-grade-7; certain-event-grade-7; compound-event-grade-7; dependent-events-grade-7,DONE (OCR from card),sp7_inference
informal-comparative-inference-grade-7,Informal Comparative Inference,7th,7.SP.B.4,7.SP.B.4,Statistics & Probability,Statistics & Probability,,Using visual comparisons of center (mean/median) and variability (range/MAD) of two distributions to draw conclusions about the populations they represent.,"Class A mean 80 vs Class B mean 70 — a 10-point difference, about 2× the MAD, suggesting a meaningful gap.","Compare centers, spreads, and overlap between the two groups.","Compare centers, then spreads, then overlap, before stating a conclusion.","Compare the middle, the spread, and how much they overlap.",center-grade-7; certain-event-grade-7; compound-event-grade-7; dependent-events-grade-7,DONE (OCR from card),sp7_informalcomparativeinference
mean-absolute-deviation-mad-grade-7,Mean Absolute Deviation (MAD),7th,7.SP.B.3,7.SP.B.3,Statistics & Probability,Statistics & Probability,,"The average distance of all data values from the mean. Steps: find the mean, find |each value − mean|, then find the average of those distances.","For {2,4,6,8,10}: mean = 6, MAD = (4+2+0+2+4)÷5 = 2.4.","A MAD of 2.4 means data values are, on average, 2.4 units from the mean.",Larger MAD means more spread out; smaller MAD means more clustered.,"On average, how far is each point from the center?",center-grade-7; certain-event-grade-7; compound-event-grade-7; dependent-events-grade-7,DONE (OCR from card),sp7_meanabsolutedeviationmad
measure-of-center-grade-7,Measure of Center,7th,7.SP.B.4,7.SP.B.4,Statistics & Probability,Statistics & Probability,,Values that represent the middle of a data set. Mean = average (sum ÷ count). Median = middle value when ordered. Choose based on whether outliers are present.,"{3,5,7,8,9,10,12}: mean ≈ 7.7, median = 8.","House prices $150K,$160K,$170K,$1,000K: mean $370K is pulled up; median $165K is the better center.",Use mean when data is symmetric with no outliers; use median when outliers are present.,Mean gets pulled by outliers; median doesn't.,center-grade-7; certain-event-grade-7; compound-event-grade-7; dependent-events-grade-7,DONE (OCR from card),sp7_measureofcenter
measure-of-variability-grade-7,Measure of Variability,7th,7.SP.B.4,7.SP.B.4,Statistics & Probability,Statistics & Probability,,Describe how spread out data is. Range = max − min (uses 2 values). MAD = average distance from mean (uses all values). Both measure how much data varies.,"{4,6,7,8,9,10,12}: range = 12-4 = 8.",Same data set: MAD = (4+2+1+0+1+2+4)÷7 = 2.,Larger range or MAD means more spread out; smaller means more clustered.,Range is quick; MAD uses every point.,center-grade-7; certain-event-grade-7; compound-event-grade-7; dependent-events-grade-7,DONE (OCR from card),sp7_measureofvariability
non-uniform-probability-model-grade-7,Non-Uniform Probability Model,7th,7.SP.C.7,7.SP.C.7,Statistics & Probability,Statistics & Probability,,A probability model in which outcomes have different probabilities. Still valid as long as all probabilities are ≥ 0 and sum to 1.,A spinner where P(Red) ≠ P(Blue) ≠ P(Green) ≠ P(Yellow).,"Real-world events are often non-uniform, unlike a fair die or coin.",A model is valid whenever probabilities are non-negative and sum to exactly 1.,Not every outcome gets the same shot.,center-grade-7; certain-event-grade-7; compound-event-grade-7; dependent-events-grade-7,DONE (OCR from card),sp7_nonuniformprobabilitymodel
population-grade-7,Population,7th,7.SP.A.1,7.SP.A.1,Statistics & Probability,Statistics & Probability,,"The entire group of individuals or objects that a statistical study is interested in. Studying all members of a population is a census, which is often impractical.",All 600 students at a middle school.,All registered voters in an election poll.,The population is defined by the research question — know what 'everyone' means for your study.,The whole group you actually care about.,center-grade-7; certain-event-grade-7; compound-event-grade-7; dependent-events-grade-7,DONE (OCR from card),sp7_population
