Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Dividing Fractions by Fractions Notes and Practice Worksheet | 6th Grade Math 6.NS.A.1,https://www.mathclass678.com/assets/pins/2026-09/sheet-dividing-fractions-by-fractions-6.jpg,6th Grade Number System | 6.NS Math,,"Dividing Fractions by Fractions for 6th Grade math (6.NS.A.1). I can divide fractions by fractions and interpret the quotient in context. One 4-in-1 Skill Sheet: a color reference page, guided practice, real-world application and a short assessment. See what is inside on the page.",https://www.mathclass678.com/sheets/dividing-fractions-by-fractions.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-09&utm_content=sheet-dividing-fractions-by-fractions-6,2026-09-19T20:45:00,"dividing fractions by fractions worksheet, 6th grade math, 6.NS.A.1"
Expanded Form: 5th Grade Math Vocabulary Definition and Example,https://www.mathclass678.com/assets/pins/2026-09/ww-expanded-form-grade-5.jpg,5th Grade Math Word Wall | Vocabulary Cards,,"Expanded Form definition for 5th Grade math (5.NBT.A.3a): A number written as the sum of the values of its digits. Example: 342.5 = 300 + 40 + 2 + 0.5. Key rule: Each addend shows one digit's true place value. The glossary page has more examples, plus the printable 5th Grade word wall.",https://www.mathclass678.com/word-wall/expanded-form-grade-5.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-09&utm_content=ww-expanded-form-grade-5,2026-09-20T02:15:00,"expanded form definition, 5th grade math vocabulary, math word wall"
Free SMART Goals Worksheet: Back to School Goal Setting | 6th Grade Math,https://www.mathclass678.com/assets/pins/2026-09/free-6th-grade-math-smart-goals-free.jpg,Free Middle School Math Resources | Grades 6-8,,A free smart goals worksheet for 6th Grade math (back to school goal setting). Enter your email on the page and it sends you straight to the free download.,https://www.mathclass678.com/free/6th-grade-math-smart-goals-free.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-09&utm_content=free-6th-grade-math-smart-goals-free,2026-09-20T10:30:00,"free smart goals worksheet, 6th grade math, free middle school math"
Decimal: 5th Grade Math Vocabulary Definition and Example,https://www.mathclass678.com/assets/pins/2026-09/ww-decimal-grade-5.jpg,5th Grade Math Word Wall | Vocabulary Cards,,"Decimal definition for 5th Grade math (5.NBT.A.3a): A number with a decimal point that shows parts of a whole, such as tenths and hundredths. Example: 2.75 is a decimal made of 2 wholes and 75 hundredths. Key rule: The decimal point separates whole numbers from parts of a whole. The glossary page has more examples, plus the printable 5th Grade word wall.",https://www.mathclass678.com/word-wall/decimal-grade-5.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-09&utm_content=ww-decimal-grade-5,2026-09-20T20:45:00,"decimal definition, 5th grade math vocabulary, math word wall"
Exponent Rules: 8th Grade Math Worked Example (8.EE.A.1),https://www.mathclass678.com/assets/pins/2026-09/std-8-ee-a-1-exponent-rules-example-1.jpg,8th Grade Expressions and Equations | 8.EE Math,,"A step-by-step 8th Grade math example for 8.EE.A.1, Exponent Rules. Problem: Simplify n⁵ · n². Same base n; the product rule applies. Add the exponents: 5 + 2 = 7. n⁵ · n² = n⁷. Answer: n⁷. More worked examples and the common mistakes to watch for are on the page.",https://www.mathclass678.com/standards/8-ee-a-1-exponent-rules.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-09&utm_content=std-8-ee-a-1-exponent-rules-example-1,2026-09-21T02:15:00,"exponent rules, 8th grade math, 8.EE.A.1"
Multi-Digit Operations (Whole + Decimal) Notes and Practice Worksheet | 6th Grade Math 6.NS.B.2+B.3,https://www.mathclass678.com/assets/pins/2026-09/sheet-multi-digit-operations-whole-decimal-6.jpg,6th Grade Number System | 6.NS Math,,"Multi-Digit Operations (Whole + Decimal) for 6th Grade math (6.NS.B.2+B.3). I can fluently divide multi-digit numbers and compute with multi-digit decimals. One 4-in-1 Skill Sheet: a color reference page, guided practice, real-world application and a short assessment. See what is inside on the page.",https://www.mathclass678.com/sheets/multi-digit-operations-whole-decimal.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-09&utm_content=sheet-multi-digit-operations-whole-decimal-6,2026-09-21T10:30:00,"multi-digit operations (whole + decimal) worksheet, 6th grade math, 6.NS.B.2+B.3"
Tenths: 5th Grade Math Vocabulary Definition and Example,https://www.mathclass678.com/assets/pins/2026-09/ww-tenths-grade-5.jpg,5th Grade Math Word Wall | Vocabulary Cards,,"Tenths definition for 5th Grade math (5.NBT.A.3a): The place value just after the decimal point, showing parts out of ten. Example: 0.3 means 3 tenths, or 3 out of 10 equal parts. Key rule: The tenths place is the first digit to the right of the decimal point. The glossary page has more examples, plus the printable 5th Grade word wall.",https://www.mathclass678.com/word-wall/tenths-grade-5.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-09&utm_content=ww-tenths-grade-5,2026-09-21T20:45:00,"tenths definition, 5th grade math vocabulary, math word wall"
Additive Inverse & Opposites: 2 Mistakes to Head Off in 7th Grade Math (7.NS.A.1a),https://www.mathclass678.com/assets/pins/2026-09/std-7-ns-a-1a-additive-inverse-opposites-mistakes.jpg,7th Grade Integers and Rational Numbers | 7.NS Math,,"Two predictable 7th Grade math errors on 7.NS.A.1a, Additive Inverse & Opposites, and how to head them off. First: The additive inverse changes the sign. The additive inverse of −8 is +8, not −8, because (−8) + 8 = 0. Verify: if the sum is not 0, the inverse is wrong. Second: Additive inverses must sum to 0. (−3) + (−3) = −6, not 0. The additive inverse of −3 is +3, because (−3) + 3 = 0. Opposite signs, same distance from 0. Worked examples are on the page.",https://www.mathclass678.com/standards/7-ns-a-1a-additive-inverse-opposites.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-09&utm_content=std-7-ns-a-1a-additive-inverse-opposites-mistakes,2026-09-22T02:15:00,"additive inverse & opposites common mistakes, 7th grade math, 7.NS.A.1a"
Greatest Common Factor: 6th Grade Math Vocabulary Definition and Example,https://www.mathclass678.com/assets/pins/2026-09/ww-greatest-common-factor-grade-6.jpg,6th Grade Math Word Wall | Vocabulary Cards,,"Greatest Common Factor definition for 6th Grade math (6.NS.B.4): The largest factor that two or more numbers have in common. Example: Factors of 12: 1,2,3,4,6,12. Factors of 18: 1,2,3,6,9,18. GCF = 6. Key rule: Find all common factors, then pick the greatest. The glossary page has more examples, plus the printable 6th Grade word wall.",https://www.mathclass678.com/word-wall/greatest-common-factor-grade-6.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-09&utm_content=ww-greatest-common-factor-grade-6,2026-09-22T10:30:00,"greatest common factor definition, 6th grade math vocabulary, math word wall"
Adding Integers: 7th Grade Math Worked Example (7.NS.A.1b),https://www.mathclass678.com/assets/pins/2026-09/std-7-ns-a-1b-adding-integers-example-1.jpg,7th Grade Integers and Rational Numbers | 7.NS Math,,"A step-by-step 7th Grade math example for 7.NS.A.1b, Adding Integers. Problem: −4 + (−9) Same signs (both −) Add: 4 + 9 = 13. Keep the sign: −. A: −13. Answer: −13. More worked examples and the common mistakes to watch for are on the page.",https://www.mathclass678.com/standards/7-ns-a-1b-adding-integers.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-09&utm_content=std-7-ns-a-1b-adding-integers-example-1,2026-09-22T20:45:00,"adding integers, 7th grade math, 7.NS.A.1b"
8th Grade Exponents & Scientific Notation Bundle | 4 Notes and Practice Worksheets,https://www.mathclass678.com/assets/pins/2026-09/bundle-8th-grade-exponents-scientific-notation.jpg,4-in-1 Skill Sheets | Middle School Math System,,"The laws of exponents and scientific notation, aligned to 8.EE.A: exponent rules, negative and zero exponents, scientific notation conversion, and operations in scientific notation. Four 4-in-1 Skill Sheets, each moving from a reference page through sequenced practice and real-world application to a built-in exit ticket. Skills: Scientific Notation Conversion, Exponent Rules, Negative & Zero Exponents, Operations with Scientific Notation.",https://www.mathclass678.com/bundles/8th-grade-exponents-scientific-notation.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-09&utm_content=bundle-8th-grade-exponents-scientific-notation,2026-09-23T02:15:00,"8th grade exponents & scientific notation worksheets, 8th grade math bundle, 4-in-1 skill sheets"
Least Common Denominator: 6th Grade Math Vocabulary Definition and Example,https://www.mathclass678.com/assets/pins/2026-09/ww-least-common-denominator-grade-6.jpg,6th Grade Math Word Wall | Vocabulary Cards,,"Least Common Denominator definition for 6th Grade math (6.NS.B.4): The smallest common multiple of two or more denominators, used to add or subtract fractions. Example: For denominators 4 and 6, the LCD is 12. Key rule: The least common denominator is the LCM of the denominators. The glossary page has more examples, plus the printable 6th Grade word wall.",https://www.mathclass678.com/word-wall/least-common-denominator-grade-6.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-09&utm_content=ww-least-common-denominator-grade-6,2026-09-23T10:30:00,"least common denominator definition, 6th grade math vocabulary, math word wall"
Exponent Rules Notes and Practice Worksheet | 8th Grade Math 8.EE.A.1,https://www.mathclass678.com/assets/pins/2026-09/sheet-exponent-rules-8.jpg,8th Grade Expressions and Equations | 8.EE Math,,"Exponent Rules for 8th Grade math (8.EE.A.1). One 4-in-1 Skill Sheet: a color reference page, guided practice, real-world application and a short assessment. See what is inside on the page.",https://www.mathclass678.com/sheets/exponent-rules.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-09&utm_content=sheet-exponent-rules-8,2026-09-23T20:45:00,"exponent rules worksheet, 8th grade math, 8.EE.A.1"
Least Common Multiple: 6th Grade Math Vocabulary Definition and Example,https://www.mathclass678.com/assets/pins/2026-09/ww-least-common-multiple-grade-6.jpg,6th Grade Math Word Wall | Vocabulary Cards,,"Least Common Multiple definition for 6th Grade math (6.NS.B.4): The smallest multiple that two or more numbers have in common. Example: Multiples of 4: 4,8,12,16,20. Multiples of 6: 6,12,18,24. Common multiples: 12, 24 — least is 12. Key rule: The LCM is the smallest number that both original numbers divide into evenly. The glossary page has more examples, plus the printable 6th Grade word wall.",https://www.mathclass678.com/word-wall/least-common-multiple-grade-6.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-09&utm_content=ww-least-common-multiple-grade-6,2026-09-24T02:15:00,"least common multiple definition, 6th grade math vocabulary, math word wall"
Free SMART Goals Worksheet: Back to School Goal Setting | 7th Grade Math,https://www.mathclass678.com/assets/pins/2026-09/free-7th-grade-math-smart-goals-free.jpg,Free Middle School Math Resources | Grades 6-8,,A free smart goals worksheet for 7th Grade math (back to school goal setting). Enter your email on the page and it sends you straight to the free download.,https://www.mathclass678.com/free/7th-grade-math-smart-goals-free.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-09&utm_content=free-7th-grade-math-smart-goals-free,2026-09-24T10:30:00,"free smart goals worksheet, 7th grade math, free middle school math"
Absolute Value: 6th Grade Math Vocabulary Definition and Example,https://www.mathclass678.com/assets/pins/2026-09/ww-absolute-value-grade-6.jpg,6th Grade Math Word Wall | Vocabulary Cards,,"Absolute Value definition for 6th Grade math (6.NS.C.7): The distance of a number from zero on the number line, always positive or zero. Example: |−5| = 5 and |5| = 5 — both are 5 units from zero. Key rule: Absolute value measures distance, so it's never negative. The glossary page has more examples, plus the printable 6th Grade word wall.",https://www.mathclass678.com/word-wall/absolute-value-grade-6.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-09&utm_content=ww-absolute-value-grade-6,2026-09-24T20:45:00,"absolute value definition, 6th grade math vocabulary, math word wall"
Square & Cube Roots: 8th Grade Math Worked Example (8.EE.A.2),https://www.mathclass678.com/assets/pins/2026-09/std-8-ee-a-2-square-cube-roots-example-1.jpg,8th Grade Expressions and Equations | 8.EE Math,,"A step-by-step 8th Grade math example for 8.EE.A.2, Square & Cube Roots. Problem: Solve x² = 49. Take the square root of both sides. x = √49. 7² = 49, so x = 7. Answer: x = 7. More worked examples and the common mistakes to watch for are on the page.",https://www.mathclass678.com/standards/8-ee-a-2-square-cube-roots.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-09&utm_content=std-8-ee-a-2-square-cube-roots-example-1,2026-09-25T02:15:00,"square & cube roots, 8th grade math, 8.EE.A.2"
Adding Integers Notes and Practice Worksheet | 7th Grade Math 7.NS.A.1b,https://www.mathclass678.com/assets/pins/2026-09/sheet-adding-integers-7.jpg,7th Grade Integers and Rational Numbers | 7.NS Math,,"Adding Integers for 7th Grade math (7.NS.A.1b). I can add integers using absolute value and sign rules, and show sums on a number line. One 4-in-1 Skill Sheet: a color reference page, guided practice, real-world application and a short assessment. See what is inside on the page.",https://www.mathclass678.com/sheets/adding-integers.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-09&utm_content=sheet-adding-integers-7,2026-09-25T10:30:00,"adding integers worksheet, 7th grade math, 7.NS.A.1b"
Common Factor: 6th Grade Math Vocabulary Definition and Example,https://www.mathclass678.com/assets/pins/2026-09/ww-common-factor-grade-6.jpg,6th Grade Math Word Wall | Vocabulary Cards,,"Common Factor definition for 6th Grade math (6.NS.B.4): A number that is a factor of two or more numbers. Example: 12 and 18 share the common factors 1, 2, 3, and 6. Key rule: A common factor divides evenly into every number in the group. The glossary page has more examples, plus the printable 6th Grade word wall.",https://www.mathclass678.com/word-wall/common-factor-grade-6.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-09&utm_content=ww-common-factor-grade-6,2026-09-25T20:45:00,"common factor definition, 6th grade math vocabulary, math word wall"
Exponent Rules: 2 Mistakes to Head Off in 8th Grade Math (8.EE.A.1),https://www.mathclass678.com/assets/pins/2026-09/std-8-ee-a-1-exponent-rules-mistakes.jpg,8th Grade Expressions and Equations | 8.EE Math,,"Two predictable 8th Grade math errors on 8.EE.A.1, Exponent Rules, and how to head them off. First: The product rule ADDS the exponents: x² · x³ = x⁵. Multiplying exponents is the power-of-a-power rule — a different situation. Second: Distributing only works over MULTIPLICATION: (xy)² = x²y². With addition you must expand: (x + y)² = x² + 2xy + y². Worked examples are on the page.",https://www.mathclass678.com/standards/8-ee-a-1-exponent-rules.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-09&utm_content=std-8-ee-a-1-exponent-rules-mistakes,2026-09-26T02:15:00,"exponent rules common mistakes, 8th grade math, 8.EE.A.1"
Common Multiple: 6th Grade Math Vocabulary Definition and Example,https://www.mathclass678.com/assets/pins/2026-09/ww-common-multiple-grade-6.jpg,6th Grade Math Word Wall | Vocabulary Cards,,"Common Multiple definition for 6th Grade math (6.NS.B.4): A number that is a multiple of two or more numbers at the same time. Example: 12 and 24 are common multiples of 4 and 6. Key rule: A common multiple is shared by every number in the group. The glossary page has more examples, plus the printable 6th Grade word wall.",https://www.mathclass678.com/word-wall/common-multiple-grade-6.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-09&utm_content=ww-common-multiple-grade-6,2026-09-26T10:30:00,"common multiple definition, 6th grade math vocabulary, math word wall"
Scientific Notation Conversion: 8th Grade Math Worked Example (8.EE.A.3),https://www.mathclass678.com/assets/pins/2026-09/std-8-ee-a-3-scientific-notation-conversion-example-1.jpg,8th Grade Expressions and Equations | 8.EE Math,,"A step-by-step 8th Grade math example for 8.EE.A.3, Scientific Notation Conversion. Problem: 47,000 Move decimal 4 places left. Coefficient: 4.7. 47,000 = 4.7 × 10⁴. Answer: 4.7 × 10⁴. More worked examples and the common mistakes to watch for are on the page.",https://www.mathclass678.com/standards/8-ee-a-3-scientific-notation-conversion.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-09&utm_content=std-8-ee-a-3-scientific-notation-conversion-example-1,2026-09-26T20:45:00,"scientific notation conversion, 8th grade math, 8.EE.A.3"
7th Grade Integer Operations Bundle | 4 Notes and Practice Worksheets,https://www.mathclass678.com/assets/pins/2026-09/bundle-7th-grade-integer-operations.jpg,4-in-1 Skill Sheets | Middle School Math System,,"Adding, subtracting, multiplying, and dividing integers, aligned to 7.NS.A. This focused 7th grade integer operations bundle gives you four 4-in-1 Skill Sheets that teach the sign rules with number lines and worked examples, each with a reference page, sequenced practice, application, and a built-in exit ticket. Skills: Adding Integers, Subtracting Integers, Multiplying Integers, Dividing Integers.",https://www.mathclass678.com/bundles/7th-grade-integer-operations.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-09&utm_content=bundle-7th-grade-integer-operations,2026-09-27T02:15:00,"7th grade integer operations worksheets, 7th grade math bundle, 4-in-1 skill sheets"
Coordinate Plane: 6th Grade Math Vocabulary Definition and Example,https://www.mathclass678.com/assets/pins/2026-09/ww-coordinate-plane-grade-6.jpg,6th Grade Math Word Wall | Vocabulary Cards,,"Coordinate Plane definition for 6th Grade math (6.G.A.3): A grid formed by a horizontal x-axis and vertical y-axis, used to locate points with ordered pairs. Example: The origin (0,0) is where the x-axis and y-axis cross. Key rule: The x-axis and y-axis together form the grid that locates every point. The glossary page has more examples, plus the printable 6th Grade word wall.",https://www.mathclass678.com/word-wall/coordinate-plane-grade-6.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-09&utm_content=ww-coordinate-plane-grade-6,2026-09-27T10:30:00,"coordinate plane definition, 6th grade math vocabulary, math word wall"
Square & Cube Roots Notes and Practice Worksheet | 8th Grade Math 8.EE.A.2,https://www.mathclass678.com/assets/pins/2026-09/sheet-square-cube-roots-8.jpg,8th Grade Expressions and Equations | 8.EE Math,,"Square & Cube Roots for 8th Grade math (8.EE.A.2). I can evaluate square roots and cube roots and use them to solve simple equations. One 4-in-1 Skill Sheet: a color reference page, guided practice, real-world application and a short assessment. See what is inside on the page.",https://www.mathclass678.com/sheets/square-cube-roots.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-09&utm_content=sheet-square-cube-roots-8,2026-09-27T20:45:00,"square & cube roots worksheet, 8th grade math, 8.EE.A.2"
Absolute Value: 7th Grade Math Vocabulary Definition and Example,https://www.mathclass678.com/assets/pins/2026-09/ww-absolute-value-grade-7.jpg,7th Grade Math Word Wall | Vocabulary Cards,,"Absolute Value definition for 7th Grade math (7.NS.A.1a): The distance a number is from 0 on a number line, written |n|. It is always non-negative. Example: |−7| = 7, because −7 is 7 units from zero. Key rule: Absolute value is ALWAYS positive or zero — never negative. The glossary page has more examples, plus the printable 7th Grade word wall.",https://www.mathclass678.com/word-wall/absolute-value-grade-7.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-09&utm_content=ww-absolute-value-grade-7,2026-09-28T02:15:00,"absolute value definition, 7th grade math vocabulary, math word wall"
Free SMART Goals Worksheet: Back to School Goal Setting | 8th Grade Math,https://www.mathclass678.com/assets/pins/2026-09/free-8th-grade-math-smart-goals-free.jpg,Free Middle School Math Resources | Grades 6-8,,A free smart goals worksheet for 8th Grade math (back to school goal setting). Enter your email on the page and it sends you straight to the free download.,https://www.mathclass678.com/free/8th-grade-math-smart-goals-free.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-09&utm_content=free-8th-grade-math-smart-goals-free,2026-09-28T10:30:00,"free smart goals worksheet, 8th grade math, free middle school math"
Additive Inverse: 7th Grade Math Vocabulary Definition and Example,https://www.mathclass678.com/assets/pins/2026-09/ww-additive-inverse-grade-7.jpg,7th Grade Math Word Wall | Vocabulary Cards,,"Additive Inverse definition for 7th Grade math (7.NS.A.1a): The opposite of a number. A number and its additive inverse always sum to zero; the additive inverse of n is −n. Example: 7 + (−7) = 0. Key rule: A number plus its additive inverse always equals 0. The glossary page has more examples, plus the printable 7th Grade word wall.",https://www.mathclass678.com/word-wall/additive-inverse-grade-7.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-09&utm_content=ww-additive-inverse-grade-7,2026-09-28T20:45:00,"additive inverse definition, 7th grade math vocabulary, math word wall"
Multi-Digit Operations: 6th Grade Math Worked Example (6.NS.B.2+B.3),https://www.mathclass678.com/assets/pins/2026-09/std-6-ns-b-2-b-3-multi-digit-operations-example-1.jpg,6th Grade Number System | 6.NS Math,,"A step-by-step 6th Grade math example for 6.NS.B.2+B.3, Multi-Digit Operations. Problem: Divide 3,276 ÷ 7. 7 into 32 = 4 R 4; write 4 above tens digit. Bring down 7 → 47; 7 into 47 = 6 R 5; write 6. Bring down 6 → 56; 7 into 56 = 8; write 8. 3,276 ÷ 7 = 468. Answer: 468. More worked examples and the common mistakes to watch for are on the page.",https://www.mathclass678.com/standards/6-ns-b-2-b-3-multi-digit-operations.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-09&utm_content=std-6-ns-b-2-b-3-multi-digit-operations-example-1,2026-09-29T02:15:00,"multi-digit operations, 6th grade math, 6.NS.B.2+B.3"
