Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Free Combining Like Terms | 7th Grade Math,https://www.mathclass678.com/assets/pins/2026-10/free-combining-like-terms-grade-7.jpg,Free Middle School Math Resources | Grades 6-8,,A free combining like terms for 7th Grade math. Enter your email on the page and it sends you straight to the free download.,https://www.mathclass678.com/free/combining-like-terms-grade-7.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-10&utm_content=free-combining-like-terms-grade-7,2026-10-20T10:30:00,"free combining like terms, 7th grade math, free middle school math"
Equivalent Fractions: 5th Grade Math Vocabulary Definition and Example,https://www.mathclass678.com/assets/pins/2026-10/ww-equivalent-fractions-grade-5.jpg,5th Grade Math Word Wall | Vocabulary Cards,,"Equivalent Fractions definition for 5th Grade math (5.NF.A.1): Different fractions that represent the same value, like 1/2 and 2/4. Example: 1/2 = 2/4, found by multiplying top and bottom by 2. Key rule: Multiply or divide the top and bottom by the same number. The glossary page has more examples, plus the printable 5th Grade word wall.",https://www.mathclass678.com/word-wall/equivalent-fractions-grade-5.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-10&utm_content=ww-equivalent-fractions-grade-5,2026-10-20T20:45:00,"equivalent fractions definition, 5th grade math vocabulary, math word wall"
Ratio Reasoning Application: 6th Grade Math Worked Example (6.RP.A.3),https://www.mathclass678.com/assets/pins/2026-10/std-6-rp-a-3-ratio-reasoning-application-example-1.jpg,6th Grade Ratios and Rates | 6.RP Math,,"A step-by-step 6th Grade math example for 6.RP.A.3, Ratio Reasoning Application. Problem: Ratio table: 2 lemons : 3 cups. Known ratio: 2 lemons : 3 cups. 4 lemons: x2 → 3 x 2 = 6 cups. 6 lemons: x3 → 3 x 3 = 9 cups. 8 lemons: x4 → 3 x 4 = 12 cups. Answer: 4 lemons → 6 cups · 6 lemons → 9 cups · 8 lemons → 12 cups. More worked examples and the common mistakes to watch for are on the page.",https://www.mathclass678.com/standards/6-rp-a-3-ratio-reasoning-application.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-10&utm_content=std-6-rp-a-3-ratio-reasoning-application-example-1,2026-10-21T02:15:00,"ratio reasoning application, 6th grade math, 6.RP.A.3"
Constant of Proportionality Notes and Practice Worksheet | 7th Grade Math 7.RP.A.2,https://www.mathclass678.com/assets/pins/2026-10/sheet-constant-of-proportionality-7.jpg,7th Grade Proportional Relationships | 7.RP Math,,"Constant of Proportionality for 7th Grade math (7.RP.A.2). I can decide whether a table, graph, or equation shows a proportional relationship. One 4-in-1 Skill Sheet: a color reference page, guided practice, real-world application and a short assessment. See what is inside on the page.",https://www.mathclass678.com/sheets/constant-of-proportionality.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-10&utm_content=sheet-constant-of-proportionality-7,2026-10-21T10:30:00,"constant of proportionality worksheet, 7th grade math, 7.RP.A.2"
Add Fractions: 5th Grade Math Vocabulary Definition and Example,https://www.mathclass678.com/assets/pins/2026-10/ww-add-fractions-grade-5.jpg,5th Grade Math Word Wall | Vocabulary Cards,,"Add Fractions definition for 5th Grade math (5.NF.A.1): To combine fractions by using a common denominator and adding the numerators. Example: 1/4 + 2/4 = 3/4. Key rule: Find a common denominator, then add the numerators and keep the denominator. The glossary page has more examples, plus the printable 5th Grade word wall.",https://www.mathclass678.com/word-wall/add-fractions-grade-5.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-10&utm_content=ww-add-fractions-grade-5,2026-10-21T20:45:00,"add fractions definition, 5th grade math vocabulary, math word wall"
Unit Rate Concept: 2 Mistakes to Head Off in 6th Grade Math (6.RP.A.2),https://www.mathclass678.com/assets/pins/2026-10/std-6-rp-a-2-unit-rate-concept-mistakes.jpg,6th Grade Ratios and Rates | 6.RP Math,,"Two predictable 6th Grade math errors on 6.RP.A.2, Unit Rate Concept, and how to head them off. First: Always divide first ÷ second. 120 miles in 3 hours → 120 ÷ 3 = 40 mph. Second: Always label the unit rate with its units. The units tell what each 1 of represents. Worked examples are on the page.",https://www.mathclass678.com/standards/6-rp-a-2-unit-rate-concept.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-10&utm_content=std-6-rp-a-2-unit-rate-concept-mistakes,2026-10-22T02:15:00,"unit rate concept common mistakes, 6th grade math, 6.RP.A.2"
Complex Fraction: 7th Grade Math Vocabulary Definition and Example,https://www.mathclass678.com/assets/pins/2026-10/ww-complex-fraction-grade-7.jpg,7th Grade Math Word Wall | Vocabulary Cards,,"Complex Fraction definition for 7th Grade math (7.NS.A.2c): A fraction whose numerator or denominator (or both) contains a fraction. Simplify by dividing — use KCF: keep the top fraction, change to multiplication, flip the bottom fraction. Example: (1/2) ÷ (3/4) = 1/2 × 4/3 = 4/6 = 2/3. Key rule: The main fraction bar always means divide the top fraction by the bottom fraction. The glossary page has more examples, plus the printable 7th Grade word wall.",https://www.mathclass678.com/word-wall/complex-fraction-grade-7.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-10&utm_content=ww-complex-fraction-grade-7,2026-10-22T10:30:00,"complex fraction definition, 7th grade math vocabulary, math word wall"
Proportional Relationships: 8th Grade Math Worked Example (8.EE.B.5),https://www.mathclass678.com/assets/pins/2026-10/std-8-ee-b-5-proportional-relationships-example-1.jpg,8th Grade Expressions and Equations | 8.EE Math,,"A step-by-step 8th Grade math example for 8.EE.B.5, Proportional Relationships. Problem: Find k for y = 6x. y = kx form: the coefficient of x is k. Read off: k = 6. Unit rate: 6 units of y per 1 unit of x. Answer: k = 6; equation is y = 6x. More worked examples and the common mistakes to watch for are on the page.",https://www.mathclass678.com/standards/8-ee-b-5-proportional-relationships.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-10&utm_content=std-8-ee-b-5-proportional-relationships-example-1,2026-10-22T20:45:00,"proportional relationships, 8th grade math, 8.EE.B.5"
6th Grade Ratios & Proportional Relationships Bundle | 3 Notes and Practice Worksheets,https://www.mathclass678.com/assets/pins/2026-10/bundle-6th-grade-ratios-proportional-relationships.jpg,4-in-1 Skill Sheets | Middle School Math System,,"The full 6th grade Ratios and Proportional Relationships strand in one place, aligned to 6.RP. Students build ratio language, unit rates, and ratio reasoning with tables, tape diagrams, and percents. Each of the three skills is a complete 4-in-1 Skill Sheet with reference, practice, application, and a built-in assessment. Skills: Understanding Ratios, Unit Rate Concept, Ratio Reasoning Application.",https://www.mathclass678.com/bundles/6th-grade-ratios-proportional-relationships.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-10&utm_content=bundle-6th-grade-ratios-proportional-relationships,2026-10-23T02:15:00,"6th grade ratios & proportional relationships worksheets, 6th grade math bundle, 4-in-1 skill sheets"
Constant of Proportionality: 7th Grade Math Vocabulary Definition and Example,https://www.mathclass678.com/assets/pins/2026-10/ww-constant-of-proportionality-grade-7.jpg,7th Grade Math Word Wall | Vocabulary Cards,,"Constant of Proportionality definition for 7th Grade math (7.RP.A.2): The constant ratio (k) between two proportional quantities, where y = kx. Example: Table where y = 3x → k = 3. Key rule: Find k by dividing y ÷ x for any matching pair. The glossary page has more examples, plus the printable 7th Grade word wall.",https://www.mathclass678.com/word-wall/constant-of-proportionality-grade-7.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-10&utm_content=ww-constant-of-proportionality-grade-7,2026-10-23T10:30:00,"constant of proportionality definition, 7th grade math vocabulary, math word wall"
Unit Rate Concept Notes and Practice Worksheet | 6th Grade Math 6.RP.A.2,https://www.mathclass678.com/assets/pins/2026-10/sheet-unit-rate-concept-6.jpg,6th Grade Ratios and Rates | 6.RP Math,,"Unit Rate Concept for 6th Grade math (6.RP.A.2). I can find and interpret the unit rate of a ratio relationship. One 4-in-1 Skill Sheet: a color reference page, guided practice, real-world application and a short assessment. See what is inside on the page.",https://www.mathclass678.com/sheets/unit-rate-concept.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-10&utm_content=sheet-unit-rate-concept-6,2026-10-23T20:45:00,"unit rate concept worksheet, 6th grade math, 6.RP.A.2"
Origin: 7th Grade Math Vocabulary Definition and Example,https://www.mathclass678.com/assets/pins/2026-10/ww-origin-grade-7.jpg,7th Grade Math Word Wall | Vocabulary Cards,,"Origin definition for 7th Grade math (7.RP.A.2): The point (0,0) on the coordinate plane where the x- and y-axes meet. Example: A proportional graph always passes through (0,0) Key rule: Every proportional relationship passes through the origin. The glossary page has more examples, plus the printable 7th Grade word wall.",https://www.mathclass678.com/word-wall/origin-grade-7.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-10&utm_content=ww-origin-grade-7,2026-10-24T02:15:00,"origin definition, 7th grade math vocabulary, math word wall"
Free Combining Like Terms Poster: Anchor Chart · 6.EE.A.3 | 6th Grade Math,https://www.mathclass678.com/assets/pins/2026-10/free-free-combining-like-terms-poster.jpg,Free Middle School Math Resources | Grades 6-8,,A free combining like terms poster for 6th Grade math (anchor chart · 6.ee.a.3). Enter your email on the page and it sends you straight to the free download.,https://www.mathclass678.com/free/free-combining-like-terms-poster.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-10&utm_content=free-free-combining-like-terms-poster,2026-10-24T10:30:00,"free combining like terms poster, 6th grade math, free middle school math"
Percent: 7th Grade Math Vocabulary Definition and Example,https://www.mathclass678.com/assets/pins/2026-10/ww-percent-grade-7.jpg,7th Grade Math Word Wall | Vocabulary Cards,,"Percent definition for 7th Grade math (7.NS.A.2d): A ratio comparing a quantity to 100 ('per hundred'). A rational number can be written as a fraction, decimal, or percent — all three are equivalent forms. Example: 3/4 = 0.75 = 75%. Key rule: Percent is just a fraction with a denominator of 100. The glossary page has more examples, plus the printable 7th Grade word wall.",https://www.mathclass678.com/word-wall/percent-grade-7.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-10&utm_content=ww-percent-grade-7,2026-10-24T20:45:00,"percent definition, 7th grade math vocabulary, math word wall"
Slope-Intercept Form: 8th Grade Math Worked Example (8.EE.B.6),https://www.mathclass678.com/assets/pins/2026-10/std-8-ee-b-6-slope-intercept-form-example-1.jpg,8th Grade Expressions and Equations | 8.EE Math,,"A step-by-step 8th Grade math example for 8.EE.B.6, Slope-Intercept Form. Problem: Graph y = 2x + 1. Read off the form: m = 2; b = 1. Plot the y-intercept (0, 1). From (0, 1) rise 2, run 1 → (1, 3). Draw a line through both points. Answer: Slope 2; y-intercept (0, 1). More worked examples and the common mistakes to watch for are on the page.",https://www.mathclass678.com/standards/8-ee-b-6-slope-intercept-form.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-10&utm_content=std-8-ee-b-6-slope-intercept-form-example-1,2026-10-25T02:15:00,"slope-intercept form, 8th grade math, 8.EE.B.6"
Ratio Reasoning Application Notes and Practice Worksheet | 6th Grade Math 6.RP.A.3,https://www.mathclass678.com/assets/pins/2026-10/sheet-ratio-reasoning-application-6.jpg,6th Grade Ratios and Rates | 6.RP Math,,"Ratio Reasoning Application for 6th Grade math (6.RP.A.3). I can use ratio and rate reasoning to solve real-world and mathematical problems. One 4-in-1 Skill Sheet: a color reference page, guided practice, real-world application and a short assessment. See what is inside on the page.",https://www.mathclass678.com/sheets/ratio-reasoning-application.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-10&utm_content=sheet-ratio-reasoning-application-6,2026-10-25T10:30:00,"ratio reasoning application worksheet, 6th grade math, 6.RP.A.3"
Percent Change: 7th Grade Math Vocabulary Definition and Example,https://www.mathclass678.com/assets/pins/2026-10/ww-percent-change-grade-7.jpg,7th Grade Math Word Wall | Vocabulary Cards,,"Percent Change definition for 7th Grade math (7.RP.A.3): How much a quantity increases or decreases, as a percent of the original amount. Example: 20 → 25 is a +25% change. Key rule: (new − old) ÷ old × 100. Divide by the ORIGINAL. The glossary page has more examples, plus the printable 7th Grade word wall.",https://www.mathclass678.com/word-wall/percent-change-grade-7.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-10&utm_content=ww-percent-change-grade-7,2026-10-25T20:45:00,"percent change definition, 7th grade math vocabulary, math word wall"
Ratio Reasoning Application: 2 Mistakes to Head Off in 6th Grade Math (6.RP.A.3),https://www.mathclass678.com/assets/pins/2026-10/std-6-rp-a-3-ratio-reasoning-application-mistakes.jpg,6th Grade Ratios and Rates | 6.RP Math,,"Two predictable 6th Grade math errors on 6.RP.A.3, Ratio Reasoning Application, and how to head them off. First: Multiply BOTH terms by 4: 2 x 4 = 8, 3 x 4 = 12. Adding changes the ratio relationship. Second: Percent means per 100: write 30/100, then multiply by the whole: 30/100 x 60 = 18. Worked examples are on the page.",https://www.mathclass678.com/standards/6-rp-a-3-ratio-reasoning-application.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-10&utm_content=std-6-rp-a-3-ratio-reasoning-application-mistakes,2026-10-26T02:15:00,"ratio reasoning application common mistakes, 6th grade math, 6.RP.A.3"
Percent Decrease: 7th Grade Math Vocabulary Definition and Example,https://www.mathclass678.com/assets/pins/2026-10/ww-percent-decrease-grade-7.jpg,7th Grade Math Word Wall | Vocabulary Cards,,"Percent Decrease definition for 7th Grade math (7.RP.A.3): A percent change where the amount goes down from the original. Example: 50 → 40 is a 20% decrease. Key rule: (decrease ÷ original) × 100. The glossary page has more examples, plus the printable 7th Grade word wall.",https://www.mathclass678.com/word-wall/percent-decrease-grade-7.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-10&utm_content=ww-percent-decrease-grade-7,2026-10-26T10:30:00,"percent decrease definition, 7th grade math vocabulary, math word wall"
"One, None, or Infinite Solutions: 8th Grade Math Worked Example (8.EE.C.7a)",https://www.mathclass678.com/assets/pins/2026-10/std-8-ee-c-7a-one-none-or-infinite-solutions-example-1.jpg,8th Grade Expressions and Equations | 8.EE Math,,"A step-by-step 8th Grade math example for 8.EE.C.7a, One, None, or Infinite Solutions. Problem: 5x − 3 = 2x + 9 Subtract 2x: 3x − 3 = 9. Add 3: 3x = 12. Divide by 3: x = 4. One solution: x = 4. Answer: x = 4. More worked examples and the common mistakes to watch for are on the page.",https://www.mathclass678.com/standards/8-ee-c-7a-one-none-or-infinite-solutions.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-10&utm_content=std-8-ee-c-7a-one-none-or-infinite-solutions-example-1,2026-10-26T20:45:00,"one, none, or infinite solutions, 8th grade math, 8.EE.C.7a"
8th Grade Linear Equations & Slope Bundle | 6 Notes and Practice Worksheets,https://www.mathclass678.com/assets/pins/2026-10/bundle-8th-grade-linear-equations-slope.jpg,4-in-1 Skill Sheets | Middle School Math System,,"Solving linear equations and understanding slope, aligned to 8.EE.B and 8.EE.C: equations with rational coefficients, word problems, multi-step equations, one-none-or-infinite solutions, slope-intercept form, and proportional relationships. Six 4-in-1 Skill Sheets, each with a reference page, practice, application, and a built-in assessment.",https://www.mathclass678.com/bundles/8th-grade-linear-equations-slope.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-10&utm_content=bundle-8th-grade-linear-equations-slope,2026-10-27T02:15:00,"8th grade linear equations & slope worksheets, 8th grade math bundle, 4-in-1 skill sheets"
Equivalent Ratios: 6th Grade Math Vocabulary Definition and Example,https://www.mathclass678.com/assets/pins/2026-10/ww-equivalent-ratios-grade-6.jpg,6th Grade Math Word Wall | Vocabulary Cards,,"Equivalent Ratios definition for 6th Grade math (6.RP.A.3): Ratios that show the same comparison, found by multiplying or dividing both terms by the same number. Example: 2:3 = 4:6 (multiply both parts by 2). Key rule: Equivalent ratios name the same comparison, just scaled. The glossary page has more examples, plus the printable 6th Grade word wall.",https://www.mathclass678.com/word-wall/equivalent-ratios-grade-6.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-10&utm_content=ww-equivalent-ratios-grade-6,2026-10-27T10:30:00,"equivalent ratios definition, 6th grade math vocabulary, math word wall"
Percent Problems Notes and Practice Worksheet | 7th Grade Math 7.RP.A.3,https://www.mathclass678.com/assets/pins/2026-10/sheet-percent-problems-7.jpg,7th Grade Proportional Relationships | 7.RP Math,,"Percent Problems for 7th Grade math (7.RP.A.3). I can solve simple interest, tax, and tip problems using percents. One 4-in-1 Skill Sheet: a color reference page, guided practice, real-world application and a short assessment. See what is inside on the page.",https://www.mathclass678.com/sheets/percent-problems.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-10&utm_content=sheet-percent-problems-7,2026-10-27T20:45:00,"percent problems worksheet, 7th grade math, 7.RP.A.3"
Part-to-Part Ratio: 6th Grade Math Vocabulary Definition and Example,https://www.mathclass678.com/assets/pins/2026-10/ww-part-to-part-ratio-grade-6.jpg,6th Grade Math Word Wall | Vocabulary Cards,,"Part-to-Part Ratio definition for 6th Grade math (6.RP.A.1): A ratio that compares one part of a group to a different part of that same group. Example: 3 teal to 2 gold = 3:2 (part compared to part). Key rule: Both numbers in the ratio are parts, not the whole group. The glossary page has more examples, plus the printable 6th Grade word wall.",https://www.mathclass678.com/word-wall/part-to-part-ratio-grade-6.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-10&utm_content=ww-part-to-part-ratio-grade-6,2026-10-28T02:15:00,"part-to-part ratio definition, 6th grade math vocabulary, math word wall"
Percent Increase: 7th Grade Math Vocabulary Definition and Example,https://www.mathclass678.com/assets/pins/2026-10/ww-percent-increase-grade-7.jpg,7th Grade Math Word Wall | Vocabulary Cards,,"Percent Increase definition for 7th Grade math (7.RP.A.3): A percent change where the amount goes up from the original. Example: 40 → 50 is a 25% increase. Key rule: (increase ÷ original) × 100. The glossary page has more examples, plus the printable 7th Grade word wall.",https://www.mathclass678.com/word-wall/percent-increase-grade-7.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-10&utm_content=ww-percent-increase-grade-7,2026-10-28T10:30:00,"percent increase definition, 7th grade math vocabulary, math word wall"
Solving Multi-Step Linear Equations: 8th Grade Math Worked Example (8.EE.C.7b),https://www.mathclass678.com/assets/pins/2026-10/std-8-ee-c-7b-solving-linear-equations-example-1.jpg,8th Grade Expressions and Equations | 8.EE Math,,"A step-by-step 8th Grade math example for 8.EE.C.7b, Solving Multi-Step Linear Equations. Problem: Solve: (3/4)x + 2 = 5 Subtract 2 from both sides: (3/4)x = 3. Multiply by the reciprocal (4/3): x = 4. Answer: x = 4. More worked examples and the common mistakes to watch for are on the page.",https://www.mathclass678.com/standards/8-ee-c-7b-solving-linear-equations.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-10&utm_content=std-8-ee-c-7b-solving-linear-equations-example-1,2026-10-28T20:45:00,"solving multi-step linear equations, 8th grade math, 8.EE.C.7b"
Proportional Relationships (Graphing) Notes and Practice Worksheet | 8th Grade Math 8.EE.B.5,https://www.mathclass678.com/assets/pins/2026-10/sheet-proportional-relationships-graphing-8.jpg,8th Grade Expressions and Equations | 8.EE Math,,"Proportional Relationships (Graphing) for 8th Grade math (8.EE.B.5). I can graph proportional relationships and interpret the unit rate as slope. One 4-in-1 Skill Sheet: a color reference page, guided practice, real-world application and a short assessment. See what is inside on the page.",https://www.mathclass678.com/sheets/proportional-relationships-graphing.html?utm_source=pinterest&utm_medium=social&utm_campaign=2026-10&utm_content=sheet-proportional-relationships-graphing-8,2026-10-29T02:15:00,"proportional relationships (graphing) worksheet, 8th grade math, 8.EE.B.5"
